"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT3G52490",0.367021705423273,0.231,0.006,1,"GEP_30 and DEGs","No"
"AT5G25490",1.63262047815729,0.366,0.007,2,"DEGs","No"
"AT5G19530",2.10885707928728,0.163,0.0115,3,"DEGs","No"
"AT2G13820",1.83559940130001,0.3845,0.0125,4,"DEGs","No"
"AT5G24800",2.43323100899353,0.3305,0.0125,5,"DEGs","Yes"
"AT4G32880",0.793814831728587,0.343,0.0135,6,"DEGs","Yes"
"AT3G15680",2.86302060455802,0.477,0.015,7,"DEGs","No"
"AT3G02000",1.27639152432942,0.2505,0.0175,8,"DEGs","No"
"AT3G28455",1.36651579638136,0.543,0.0215,9,"DEGs","No"
"AT3G25130",0.40538247942647,0.286,0.022,10,"GEP_33 and DEGs","No"
"AT1G28400",1.84604766229242,0.5955,0.026,11,"DEGs","No"
"AT3G56240",1.87912154388467,0.2755,0.0285,12,"DEGs","No"
"AT3G62100",1.68264299372038,0.4575,0.029,13,"DEGs","No"
"AT3G56810",1.31619864349237,0.637,0.0345,14,"DEGs","No"
"AT2G41130",1.34337600649201,0.5095,0.0395,15,"DEGs","Yes"
"AT3G22810",0.45011563593809,0.354,0.051,16,"GEP_33 and DEGs","No"
"AT5G60200",1.58120045058171,0.609,0.052,17,"DEGs","Yes"
"AT5G03610",0.907993809860907,0.532,0.054,18,"GEP_30 and DEGs","No"
"AT2G02540",0.255076058894425,0.265,0.056,19,"GEP_33","Yes"
"AT4G24060",1.06441938033789,0.6025,0.057,20,"DEGs","Yes"
"AT3G16470",0.419744983726979,0.155,0.078,21,"GEP_30","No"
"AT4G29100",1.1949794874671,0.6065,0.085,22,"DEGs","Yes"
"AT2G24570",0.768265714321413,0.444,0.1015,23,"DEGs","Yes"
"AT3G50410",1.2634500098483,0.4405,0.115,24,"DEGs","Yes"
"AT1G19850",1.30366776917003,0.612,0.1305,25,"DEGs","Yes"
"AT4G35480",0.801357864856049,0.286,0.168,26,"GEP_33 and DEGs","No"
"AT1G11260",0.346508699433702,0.314,0.205,27,"GEP_30","No"
"AT3G52630",0.538269812924549,0.435,0.266,28,"GEP_30 and DEGs","No"
"AT3G04670",0.764346173049822,0.6625,0.295,29,"DEGs","Yes"
"AT3G06740",0.28092784175624,0.48,0.32,30,"GEP_33","Yes"
"AT1G09815",0.374535530292177,0.596,0.394,31,"GEP_30 and DEGs","No"
"AT3G13110",0.640734951368469,0.609,0.442,32,"GEP_30 and DEGs","No"
"AT1G08570",0.556920413822188,0.816,0.63,33,"GEP_30 and DEGs","No"
