"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"AT1G62360",0,1.79232393624984,0.521,0.002,0,1,"DEGs","Yes"
"AT1G70510",0,1.29343077924411,0.586,0.003,0,2,"DEGs","Yes"
"AT4G08150",0,2.952665137956,0.661,0.004,0,3,"DEGs","Yes"
"AT5G03840",0,1.40781401080497,0.16,0.004,0,4,"DEGs","No"
"AT3G12500",0,2.09572112604994,0.346,0.01,0,5,"DEGs","No"
"AT1G13710",0,2.89503052576509,0.648,0.014,0,6,"DEGs","No"
"AT3G23290",0,2.63814089268417,0.882,0.015,0,7,"DEGs","No"
"AT3G19200",0,1.27409682369113,0.438,0.017,0,8,"DEGs","No"
"AT3G04510",0,1.68186175081812,0.663,0.019,0,9,"DEGs","No"
"AT3G24450",0,1.07781010011894,0.357,0.019,0,10,"DEGs","No"
"AT4G35900",0,1.21996319602818,0.422,0.024,0,11,"DEGs","Yes"
"AT5G57785",0,1.96752832486116,0.339,0.024,0,12,"DEGs","No"
"AT1G11580",1.20832622821607e-225,1.96020752550784,0.267,0.025,1.90915544058139e-221,13,"DEGs","No"
"AT2G31160",0,1.60989706079154,0.746,0.031,0,14,"DEGs","No"
"AT1G16530",0,2.12089076708808,0.777,0.055,0,15,"DEGs","Yes"
"AT3G54990",2.45942751713501e-25,0.290376528551437,0.212,0.083,3.88589547707332e-21,16,"GEP_9 and DEGs","Yes"
"AT2G37260",2.91574586282706e-09,0.252433445769219,0.179,0.102,4.60687846326675e-05,17,"GEP_9 and DEGs","Yes"
"AT1G28360",3.39733138402342e-306,1.30442875078736,0.615,0.105,5.367783586757e-302,18,"DEGs","Yes"
"AT3G48100",0,2.1707419525715,0.829,0.111,0,19,"GEP_9 and DEGs","No"
"AT5G65640",5.69508886989037e-187,1.18381534797298,0.523,0.117,8.99824041442679e-183,20,"DEGs","Yes"
"AT5G25190",0.00980512348003483,0.361062378934167,0.173,0.144,1,21,"GEP_9 and DEGs","Yes"
"AT4G32980",4.34945222287504e-287,1.20621695798865,0.689,0.147,6.87213451214256e-283,22,"DEGs","Yes"
"AT3G44290",7.92736791003212e-206,1.07426367811416,0.615,0.151,1.25252412978507e-201,23,"DEGs","Yes"
"AT4G02070",6.47050606901091e-27,0.506792967329905,0.37,0.197,1.02233995890372e-22,24,"GEP_9 and DEGs","No"
"AT5G65510",8.38766639556974e-194,1.14022679472351,0.72,0.221,1.32525129050002e-189,25,"DEGs","Yes"
"AT1G80530",3.85452288952181e-34,0.353999737584208,0.438,0.225,6.09014616544446e-30,26,"GEP_9 and DEGs","No"
"AT1G70530",6.51921901945749e-18,0.269483372615769,0.385,0.229,1.03003660507428e-13,27,"GEP_9 and DEGs","No"
"AT5G14780",6.97346689544294e-181,1.36237555128346,0.816,0.318,1.10180776947998e-176,28,"GEP_9 and DEGs","No"
"AT1G69295",5.03588153480614e-22,0.305564675837137,0.602,0.424,7.95669282499371e-18,29,"GEP_9 and DEGs","No"
"AT3G10020",7.38515384072383e-124,2.50398956050946,0.928,0.589,1.16685430683437e-119,30,"GEP_9 and DEGs","No"
