"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT2G21140",1.43370973207896,0.2875,0.0015,1,"DEGs","No"
"AT3G06120",3.04200631570999,0.331,0.002,2,"DEGs","Yes"
"AT3G23430",0.305156861600375,0.136,0.003,3,"GEP_6","No"
"AT2G20875",2.67730016694339,0.6385,0.003,4,"DEGs","No"
"AT1G08810",1.59827936221704,0.562,0.0035,5,"DEGs","Yes"
"AT3G06778",1.26191002148554,0.5635,0.0075,6,"DEGs","No"
"AT2G45890",1.08047135359379,0.414,0.008,7,"DEGs","No"
"AT1G26600",1.308474412521,0.598,0.009,8,"DEGs","No"
"AT1G04110",2.26773211106021,0.297,0.0095,9,"DEGs","No"
"AT3G24140",2.22583122920488,0.573,0.0105,10,"DEGs","Yes"
"AT1G16960",1.54118303013928,0.5915,0.011,11,"DEGs","No"
"AT3G59680",0.556623167517876,0.282,0.018,12,"GEP_6","No"
"AT5G66400",2.67358940984989,0.2305,0.02,13,"DEGs","No"
"AT5G52250",0.307734006890575,0.196,0.024,14,"GEP_27","No"
"AT5G23400",2.32572837197031,0.149,0.0345,15,"DEGs","No"
"AT3G52520",0.67538829103684,0.261,0.044,16,"GEP_27","No"
"AT3G20860",1.7103376179742,0.5855,0.0505,17,"DEGs","No"
"AT3G22760",0.817680440432996,0.45,0.0935,18,"DEGs","Yes"
"AT1G62300",1.67820297143538,0.546,0.0945,19,"DEGs","Yes"
"AT5G07870",0.815610423090931,0.383,0.097,20,"GEP_6 and DEGs","No"
"AT5G43190",0.537220914410786,0.397,0.1,21,"GEP_6 and DEGs","No"
"AT3G55470",0.987318142332559,0.546,0.124,22,"GEP_27 and DEGs","No"
"AT2G25060",0.263716679073154,0.103,0.142,23,"GEP_27","No"
"AT3G28910",2.37106807022984,0.7705,0.1465,24,"DEGs","Yes"
"AT4G04890",0.510251931316065,0.508,0.148,25,"DEGs","Yes"
"AT1G72670",0.302390445733941,0.203,0.158,26,"GEP_27","No"
"AT3G03640",0.462782617837299,0.286,0.162,27,"GEP_6 and DEGs","No"
"AT1G17200",0.492090705406132,0.546,0.169,28,"GEP_6 and DEGs","No"
"AT3G12920",1.00309495838856,0.512,0.175,29,"GEP_27 and DEGs","No"
"AT5G06710",1.6683009087268,0.726,0.2125,30,"DEGs","Yes"
"AT1G55210",0.51066408974317,0.255,0.218,31,"GEP_6","No"
"AT4G37790",1.26934218071827,0.7735,0.246,32,"DEGs","Yes"
"AT3G26744",1.46107684673597,0.858,0.408,33,"DEGs","Yes"
"AT1G01300",0.327514745413313,0.496,0.422,34,"GEP_27 and DEGs","No"
"AT3G59940",0.354240330216124,0.463,0.445,35,"GEP_27","No"
"AT3G03990",1.19594026580275,0.685,0.464,36,"GEP_6 and DEGs","No"
"AT5G42850",0.753713100345695,0.8,0.481,37,"GEP_6 and DEGs","No"
"AT4G14270",1.01037573968221,0.696,0.499,38,"GEP_27 and DEGs","No"
"AT1G20693",0.460908978574522,0.617,0.568,39,"GEP_27 and DEGs","No"
