"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT4G19810",1.21526818313946,0.2265,0.005,1,"DEGs","No"
"AT2G43610",1.56302453855676,0.3875,0.005,2,"DEGs","No"
"AT1G22900",1.52432474445797,0.34,0.0055,3,"DEGs","No"
"AT2G04160",1.20831183530262,0.304,0.0065,4,"DEGs","No"
"AT1G69310",0.402527899892225,0.2115,0.0095,5,"DEGs","Yes"
"AT4G23550",1.54239506258173,0.3895,0.0095,6,"DEGs","Yes"
"AT4G23300",0.669395758980143,0.25,0.015,7,"DEGs","No"
"AT4G36160",0.874398138576262,0.317,0.0155,8,"DEGs","Yes"
"AT4G36260",0.823667788709113,0.3875,0.02,9,"DEGs","Yes"
"AT2G24260",0.498632185156529,0.284,0.0205,10,"DEGs","Yes"
"AT5G08070",0.305072824177844,0.147,0.022,11,"DEGs","Yes"
"AT4G21215",0.788121528564508,0.3435,0.0275,12,"DEGs","No"
"AT2G43590",2.11786403363446,0.2695,0.031,13,"DEGs","No"
"AT5G62680",1.1356409488959,0.265,0.032,14,"GEP_8 and DEGs","No"
"AT3G25710",1.23670422927864,0.383,0.034,15,"DEGs","Yes"
"AT4G36670",0.461040282047407,0.187,0.0465,16,"DEGs","No"
"AT2G41130",0.877502466093389,0.3775,0.0485,17,"DEGs","Yes"
"AT4G13540",0.291476984247051,0.152,0.065,18,"GEP_3","No"
"AT2G16700",0.514800122237653,0.199,0.066,19,"GEP_1 and DEGs","No"
"AT5G50200",1.61725677179525,0.4045,0.073,20,"DEGs","No"
"AT5G60970",0.836200600696653,0.4225,0.0735,21,"DEGs","Yes"
"AT3G05730",6.94088253779476,0.591,0.1085,22,"DEGs","No"
"AT4G19880",0.381846358921297,0.192,0.127,23,"GEP_1","No"
"AT2G37640",0.273903985669707,0.184,0.136,24,"GEP_1","No"
"AT5G39050",0.83513426372116,0.204,0.151,25,"GEP_8 and DEGs","No"
"AT4G01070",0.392070839894759,0.221,0.213,26,"GEP_1","No"
"AT4G30350",0.441319304737964,0.393,0.247,27,"GEP_1 and DEGs","No"
"AT3G30775",0.284428237414292,0.276,0.295,28,"GEP_8 and DEGs","No"
"AT5G03160",0.322282041375368,0.413,0.326,29,"GEP_1","No"
"AT1G80920",0.409181646862034,0.614,0.526,30,"GEP_1 and DEGs","No"
"AT3G53990",0.403769647404855,0.597,0.569,31,"GEP_1","No"
"AT5G19120",0.33324729939553,0.675,0.617,32,"GEP_3","No"
"AT2G25250",0.693693495849038,0.772,0.629,33,"GEP_1 and DEGs","No"
