"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT2G47485",0,1.9209244991,0.638,0.042,0,3.72577002827733e-107,1.13189487793418,0.55,0.081,6.8393960409087e-103,3.72577002827733e-107,0,"AT2G47485"
"AT4G02100",0,0.617040817201887,0.368,0.024,0,7.74826721925494e-92,0.378250378559331,0.275,0.024,1.42234941343863e-87,7.74826721925494e-92,0,"AT4G02100"
"AT4G02940",0,1.43877793788724,0.423,0.026,0,1.09226767001722e-91,0.753265904445195,0.262,0.022,2.00507576185061e-87,1.09226767001722e-91,0,"AT4G02940"
"AT4G08910",0,0.359565018465573,0.17,0.002,0,2.6939132737712e-25,0.40497001489828,0.288,0.074,4.94521659666179e-21,2.6939132737712e-25,0,"AT4G08910"
"AT4G14440",0,1.55005507043551,0.609,0.072,0,2.37839734242495e-65,0.31048616688142,0.125,0.007,4.36602400148949e-61,2.37839734242495e-65,0,"AT4G14440"
"AT4G17680",0,0.565440638361919,0.227,0.006,0,5.8778259604258e-181,1.18919451540213,0.65,0.07,1.07899251155536e-176,5.8778259604258e-181,0,"AT4G17680"
"AT4G27810",0,0.615357242051235,0.168,0.001,0,1.05993955510963e-82,0.889470056669316,0.238,0.02,1.94573104131475e-78,1.05993955510963e-82,0,"AT4G27810"
"AT4G38000",0,0.274890961430922,0.153,0.005,0,4.85243986426519e-252,0.380203726039655,0.138,0.002,8.90762385883161e-248,4.85243986426519e-252,0,"AT4G38000"
"AT4G38420",0,0.87836799280782,0.262,0.013,0,1.45412484202304e-53,1.16649769033094,0.169,0.016,2.6693369725017e-49,1.45412484202304e-53,0,"AT4G38420"
"AT3G14760",3.91660976696114e-217,1.19665187693613,0.442,0.073,7.18972054921057e-213,0,1.76061643631127,0.65,0.024,0,3.91660976696114e-217,0,"AT3G14760"
"AT3G26960",6.0251882641619e-161,1.25588320032091,0.227,0.025,1.1060438096522e-156,0,1.44852623744489,0.381,0.007,0,6.0251882641619e-161,0,"AT3G26960"
"AT2G37540",1.16793573859497e-136,0.42452613346113,0.239,0.032,2.14397963533879e-132,0,0.635626728036415,0.338,0.007,0,1.16793573859497e-136,0,"AT2G37540"
"AT5G47330",9.99291628789507e-41,0.394475536272756,0.237,0.075,1.8343996429689e-36,0,1.17292850096784,0.494,0.015,0,9.99291628789507e-41,0,"AT5G47330"
"AT3G57600",8.74891088214151e-304,0.896709857421059,0.223,0.012,1.60603757063472e-299,1.1565441266831e-212,0.995448879140993,0.244,0.008,2.12306805335217e-208,1.1565441266831e-212,1.74978217642825e-303,"AT3G57600"
"AT2G28570",9.43493182195718e-297,0.544091778333938,0.256,0.017,1.73197043455668e-292,0.143545951219997,0.444664301694214,0.131,0.098,1,0.143545951219997,1.88698636439131e-296,"AT2G28570"
"AT2G02540",4.32091643322589e-280,0.589635443773714,0.301,0.025,7.93190629647277e-276,7.73652076324529e-83,0.821827493636406,0.525,0.095,1.42019311650894e-78,7.73652076324529e-83,8.64183286645117e-280,"AT2G02540"
"AT1G71050",6.4571895719333e-263,1.6426627272387,0.317,0.03,1.1853462897198e-258,1.61570590487337e-261,1.62196739666048,0.231,0.006,2.96595132957605e-257,1.61570590487337e-261,1.29143791438653e-262,"AT1G71050"
"AT5G49330",5.47908149001472e-247,0.713431443908234,0.207,0.013,1.005794989122e-242,2.54123247779395e-72,1.01195281822754,0.381,0.057,4.66494045948635e-68,2.54123247779395e-72,1.09581629800289e-246,"AT5G49330"
"AT1G04920",1.09944067530474e-243,0.326908581084096,0.149,0.007,2.0182432476569e-239,2.33940587007289e-20,0.383037265603061,0.169,0.036,4.2944473556928e-16,2.33940587007289e-20,2.19888135060947e-243,"AT1G04920"
"AT1G10690",2.05377951224383e-241,0.975006243239489,0.468,0.072,3.77012305062599e-237,7.10641673647117e-169,0.553343487218221,0.331,0.019,1.30452492031401e-164,7.10641673647117e-169,4.10755902448726e-241,"AT1G10690"
"AT1G75730",1.96099021943951e-150,0.511642438084412,0.299,0.046,3.59978974582511e-146,7.57684357694391e-238,1.1370511705553,0.588,0.045,1.39088117541959e-233,1.96099021943951e-150,1.51536871538865e-237,"AT1G75730"
"AT3G14850",2.81297920620271e-214,0.715727395539228,0.311,0.036,5.16378592882632e-210,1.47588014829273e-13,0.415512422649273,0.175,0.051,2.70927318822097e-09,1.47588014829273e-13,5.62595841240533e-214,"AT3G14850"
"AT5G04820",2.76564476259689e-210,0.398387283243186,0.225,0.019,5.07689409069912e-206,3.38309554150094e-186,0.946827760082345,0.55,0.051,6.21034848553327e-182,3.38309554150094e-186,5.53128952519377e-210,"AT5G04820"
"AT3G23840",4.62874473718046e-184,0.89936126826814,0.266,0.031,8.49698671404217e-180,2.03933814724399e-05,0.410334455349445,0.138,0.06,0.37436130368958,2.03933814724399e-05,9.2574894743609e-184,"AT3G23840"
"AT3G60220",3.4287367497198e-181,0.432319396558367,0.27,0.031,6.29413205146063e-177,1.4526591592373e-37,0.482958018150705,0.369,0.088,2.66664641861192e-33,1.4526591592373e-37,6.85747349943974e-181,"AT3G60220"
"AT1G68530",1.65908883869964e-176,0.804131471200894,0.382,0.062,3.04558938120092e-172,1.48351061413233e-06,0.447723199056751,0.138,0.054,0.0272328043436273,1.48351061413233e-06,3.31817767739919e-176,"AT1G68530"
"AT4G13710",1.12976088971915e-162,0.624230556315474,0.315,0.047,2.07390206525744e-158,1.10923706185224e-125,0.979690229629361,0.637,0.099,2.03622647444215e-121,1.10923706185224e-125,2.25952177943835e-162,"AT4G13710"
"AT2G34340",2.69657519856056e-155,0.293424123582679,0.155,0.012,4.95010309199762e-151,2.93256729367826e-23,0.469301986649778,0.169,0.032,5.38331378100518e-19,2.93256729367826e-23,5.39315039712115e-155,"AT2G34340"
"AT2G02450",9.46819188899035e-114,0.381102693427544,0.26,0.043,1.73807598506196e-109,7.67827417641624e-145,1.2553724227305,0.631,0.081,1.40950079056473e-140,9.46819188899035e-114,1.53565483528321e-144,"AT2G02450"
"AT4G12430",6.96819867218125e-141,0.368291588212565,0.143,0.011,1.27915223025231e-136,2.6248801797152e-113,0.764307515458907,0.219,0.012,4.81849254590319e-109,2.6248801797152e-113,1.39363973443625e-140,"AT4G12430"
"AT4G24510",1.57923861366378e-27,0.271608184204838,0.172,0.055,2.89900832310261e-23,4.65230861682917e-140,0.477772518703958,0.131,0.003,8.5402429279133e-136,1.57923861366378e-27,9.30461723365836e-140,"AT4G24510"
"AT5G16360",4.38574574906426e-138,0.451962264430583,0.225,0.028,8.05091347155727e-134,4.84459340283798e-20,0.379980459612845,0.144,0.027,8.89322010958967e-16,4.84459340283798e-20,8.77149149812835e-138,"AT5G16360"
"AT3G20300",3.36286891940388e-137,0.705764081710129,0.278,0.043,6.17321847534971e-133,1.92071940471467e-90,0.739154182265587,0.338,0.037,3.52586461123472e-86,1.92071940471467e-90,6.7257378388079e-137,"AT3G20300"
"AT5G50090",6.82467665855955e-128,0.347977533704167,0.16,0.015,1.25280589421178e-123,1.05492867742643e-16,0.306106125517606,0.188,0.048,1.9365325731517e-12,1.05492867742643e-16,1.3649353317119e-127,"AT5G50090"
"AT4G14746",9.46216289274312e-124,0.531443746220287,0.239,0.035,1.73696924222085e-119,5.68595599013511e-16,0.386694666898335,0.156,0.036,1.0437709411091e-11,5.68595599013511e-16,1.89243257854863e-123,"AT4G14746"
"AT3G22760",1.78096451573589e-112,0.758522243504719,0.391,0.097,3.26931656153637e-108,4.1710309817886e-86,0.90394211730871,0.519,0.09,7.65676157326934e-82,4.1710309817886e-86,3.56192903147184e-112,"AT3G22760"
"AT3G11600",5.10227543642729e-87,0.541615678682668,0.188,0.03,9.36624701864958e-83,1.83943979681106e-109,1.13394027244081,0.5,0.066,3.37665963500606e-105,5.10227543642729e-87,3.67887959362212e-109,"AT3G11600"
"AT5G23400",9.63007202347824e-99,1.92959815389397,0.133,0.014,1.7677923213499e-94,0.00014254643453145,2.34663909469508,0.119,0.055,1,0.00014254643453145,1.92601440469568e-98,"AT5G23400"
"AT5G66400",4.14383079144973e-89,1.30368625531688,0.135,0.016,7.60683018386427e-85,2.02265534730329e-93,3.88465974994525,0.281,0.025,3.71298842104466e-89,4.14383079144973e-89,4.04531069460662e-93,"AT5G66400"
"AT5G33290",1.32916525097623e-92,0.389262780620524,0.188,0.029,2.43994865121706e-88,1.39072118007988e-88,0.505937834751794,0.35,0.04,2.55294687027263e-84,1.39072118007988e-88,2.65833050195249e-92,"AT5G33290"
"AT2G21590",2.57862969522183e-91,0.31605078280867,0.207,0.035,4.73359053151871e-87,5.39270121327145e-46,0.480976312213922,0.288,0.049,9.8993816172024e-42,5.39270121327145e-46,5.15725939044371e-91,"AT2G21590"
"AT5G08170",1.27120686849147e-73,0.376519674101891,0.284,0.073,2.33355444848979e-69,6.5712745132464e-88,0.8347002677474,0.306,0.031,1.20628886239664e-83,1.27120686849147e-73,1.31425490264929e-87,"AT5G08170"
"AT2G48030",1.1486421759802e-87,0.290396315461772,0.19,0.03,2.10856244244685e-83,4.17975399909424e-47,0.313699817909389,0.231,0.031,7.67277441613731e-43,4.17975399909424e-47,2.29728435196038e-87,"AT2G48030"
"AT1G05810",1.11370504911202e-83,0.270955689239668,0.213,0.038,2.04442835865493e-79,6.94140041812943e-44,0.319527834002401,0.288,0.05,1.27423287475602e-39,6.94140041812943e-44,2.22741009822406e-83,"AT1G05810"
"AT1G63220",8.42329159106819e-80,0.356138201901575,0.213,0.04,1.54626363737239e-75,4.03429924370149e-49,0.697815339979794,0.419,0.089,7.40576312166282e-45,4.03429924370149e-49,1.68465831821364e-79,"AT1G63220"
"AT1G03440",3.72590143302729e-78,0.495548651732825,0.155,0.023,6.8396372606082e-74,9.13302562597026e-40,0.600090585176349,0.219,0.033,1.67654951415936e-35,9.13302562597026e-40,7.4518028660545e-78,"AT1G03440"
"AT4G33490",4.15135847818733e-74,0.318468200663154,0.19,0.035,7.62064875840849e-70,5.71939103038048e-59,1.2515752047248,0.362,0.063,1.04990861144694e-54,5.71939103038048e-59,8.3027169563746e-74,"AT4G33490"
"AT5G53210",5.16408043306805e-71,0.344980356289955,0.229,0.049,9.47970245098303e-67,6.41226925924657e-57,0.595757433211765,0.438,0.084,1.17710026791989e-52,6.41226925924657e-57,1.03281608661361e-70,"AT5G53210"
"AT2G36380",8.61053213693655e-65,0.323346947288393,0.227,0.053,1.58063538437744e-60,6.18452021778847e-30,0.432807097145023,0.362,0.098,1.13529237637943e-25,6.18452021778847e-30,1.72210642738731e-64,"AT2G36380"
"AT5G26731",3.16662511664216e-52,0.285906686089586,0.239,0.065,5.81297372662002e-48,2.8172707748892e-59,0.52818687023827,0.444,0.087,5.17166396146411e-55,3.16662511664216e-52,5.63454154977843e-59,"AT5G26731"
"AT2G03980",2.86163305595653e-58,0.299635091647237,0.262,0.07,5.25309980081941e-54,1.01225394925781e-50,1.02453836089865,0.312,0.052,1.85819457465256e-46,1.01225394925781e-50,5.72326611191304e-58,"AT2G03980"
"AT5G58900",1.59805020295261e-39,0.275851129132071,0.2,0.06,2.9335407575601e-35,2.67968104140256e-56,0.595690687993719,0.388,0.072,4.91909048770267e-52,1.59805020295261e-39,5.35936208280516e-56,"AT5G58900"
"AT1G69850",1.76471244076286e-34,0.262204137569555,0.196,0.063,3.23948262750838e-30,2.39458135495669e-52,0.422348378426817,0.325,0.054,4.39573299329399e-48,1.76471244076286e-34,4.78916270991338e-52,"AT1G69850"
"AT4G13180",2.01872430489232e-17,0.385219548346075,0.178,0.078,3.70577220649083e-13,1.77344068376043e-51,0.748074726784337,0.175,0.017,3.25550506317902e-47,2.01872430489232e-17,3.54688136752085e-51,"AT4G13180"
"AT1G02860",2.24278229696204e-44,0.250631235475842,0.18,0.046,4.11707546253322e-40,1.10053130260449e-38,0.842607766886397,0.162,0.019,2.02024531219106e-34,1.10053130260449e-38,4.48556459392406e-44,"AT1G02860"
"AT4G38770",1.26756185981627e-18,0.325813570532766,0.123,0.041,2.32686330606472e-14,3.78036585032457e-05,0.351729181312654,0.1,0.038,0.693961759144081,3.78036585032457e-05,2.53512371963254e-18,"AT4G38770"
"AT1G12320",0,0.993722195160017,0.464,0.053,0,2.9109382646414e-84,1.309277747722,0.55,0.102,5.34360937240222e-80,2.9109382646414e-84,0,"AT1G12320"
