"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT5G03150",0,0.435922761818894,0.257,0.003,0,0,0.538564779359296,0.39,0.025,0,0,0,"AT5G03150"
"AT3G23290",0,0.415955475266384,0.217,0.004,0,4.53709567864176e-219,0.332692345136237,0.189,0.028,8.32874653728267e-215,4.53709567864176e-219,0,"AT3G23290"
"AT3G50870",0,0.569354444269051,0.258,0.011,0,0,0.694178538147334,0.371,0.035,0,0,0,"AT3G50870"
"AT4G11320",0,1.68557687885262,0.392,0.017,0,0,3.05542074545547,0.719,0.092,0,0,0,"AT4G11320"
"AT4G24275",0,1.02445159952754,0.517,0.031,0,0,0.502736088480604,0.413,0.041,0,0,0,"AT4G24275"
"AT1G53180",1.68082353938763e-193,0.524984864757036,0.162,0.011,3.08548777125387e-189,0,0.538687620415444,0.408,0.035,0,1.68082353938763e-193,0,"AT1G53180"
"AT1G22490",3.48118826210893e-149,0.254744645149448,0.117,0.008,6.39041729275335e-145,0,0.289635998421762,0.257,0.02,0,3.48118826210893e-149,0,"AT1G22490"
"AT3G48550",5.08757510819807e-300,0.554621465482023,0.167,0.007,9.3392616261192e-296,4.77028440891255e-160,0.310308007527765,0.208,0.044,8.75681108944077e-156,4.77028440891255e-160,1.01751502163955e-299,"AT3G48550"
"AT1G26960",2.85584641715227e-292,0.327758354950435,0.245,0.017,5.24247726796642e-288,4.31240674250494e-246,0.343051556555713,0.384,0.096,7.91628505721632e-242,4.31240674250494e-246,5.71169283430423e-292,"AT1G26960"
"AT5G22580",4.8552346049577e-54,1.43126211474859,0.201,0.051,8.91275416432085e-50,2.43378806203502e-197,0.978841570685687,0.337,0.091,4.46770474547769e-193,4.8552346049577e-54,4.86757612407003e-197,"AT5G22580"
"AT1G25230",5.92162230741037e-58,0.375849224524694,0.16,0.033,1.08703220697132e-53,4.21190444984044e-160,0.37118772641558,0.17,0.03,7.73179299857209e-156,5.92162230741037e-58,8.42380889968091e-160,"AT1G25230"
"AT5G65390",1.46726748408823e-42,0.448803517191172,0.257,0.091,2.69346292054077e-38,3.69257465739214e-148,0.362424432593894,0.309,0.094,6.77845929857474e-144,1.46726748408823e-42,7.3851493147841e-148,"AT5G65390"
"AT2G34600",1.05782800080065e-33,0.407168087432107,0.214,0.076,1.94185486106975e-29,9.98574863522209e-70,0.256727267017861,0.124,0.033,1.83308387696772e-65,1.05782800080065e-33,1.99714972704442e-69,"AT2G34600"
