"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G61660",0,0.483063800068486,0.221,0.02,0,8.76508842010645e-152,0.484804447587774,0.127,0.026,1.60900728127894e-147,8.76508842010645e-152,0,"AT1G61660"
"AT5G60890",0,0.552164252146569,0.337,0.045,0,5.01636763761968e-114,0.251195081768355,0.197,0.068,9.20854607237844e-110,5.01636763761968e-114,0,"AT5G60890"
"AT4G13770",0,1.01112582306224,0.18,0.006,0,0,1.12994634128126,0.386,0.089,0,0,0,"AT4G13770"
"AT5G48170",1.1584877961161e-116,0.292646742623187,0.214,0.053,2.12663604733032e-112,0,0.447042646659459,0.336,0.079,0,1.1584877961161e-116,0,"AT5G48170"
"AT5G14200",6.20754955224989e-59,1.20474176641693,0.1,0.023,1.13951987130651e-54,0,0.6274903252296,0.163,0.017,0,6.20754955224989e-59,0,"AT5G14200"
"AT4G16447",1.06137190332665e-303,0.50907901298656,0.257,0.033,1.94836040293673e-299,1.71486101861254e-234,0.327024898852969,0.202,0.042,3.14797037186704e-230,1.71486101861254e-234,2.12274380665322e-303,"AT4G16447"
"AT5G14920",1.0048896991467e-224,0.647549716824752,0.31,0.063,1.84467602072359e-220,9.05647937625486e-276,0.824888345033405,0.326,0.091,1.6624979190991e-271,1.0048896991467e-224,1.8112958752508e-275,"AT5G14920"
"AT5G62680",9.89502251261752e-251,0.657005809649566,0.153,0.014,1.8164292826412e-246,4.67730111931296e-36,0.335767307487724,0.111,0.051,8.5861216647228e-32,4.67730111931296e-36,1.9790045025233e-250,"AT5G62680"
"AT2G28510",2.31521974003084e-241,0.379690850041498,0.283,0.05,4.25004887677461e-237,1.28895224552362e-147,0.377458893912935,0.258,0.087,2.3661296371077e-143,1.28895224552362e-147,4.63043948006146e-241,"AT2G28510"
"AT4G39950",3.70659950346716e-202,0.931970971962301,0.13,0.013,6.80420470851467e-198,2.81929166492705e-139,0.741698490172335,0.148,0.037,5.17537370930659e-135,2.81929166492705e-139,7.41319900693439e-202,"AT4G39950"
"AT5G07460",5.64518993160107e-97,0.460172962797692,0.116,0.02,1.03628751574401e-92,1.2145017078085e-148,0.261820743882487,0.139,0.031,2.22946078502407e-144,5.64518993160107e-97,2.42900341561708e-148,"AT5G07460"
"AT4G24060",3.18408890567911e-133,0.367542417410572,0.232,0.055,5.84503200415514e-129,1.15963085271507e-119,0.293798538109707,0.233,0.084,2.12873435632905e-115,1.15963085271507e-119,6.36817781135818e-133,"AT4G24060"
"AT4G09890",2.19076646342834e-16,0.476132233976568,0.166,0.096,4.0215899969154e-12,4.2377799377099e-34,0.328384161380348,0.132,0.066,7.77929263165405e-30,2.19076646342834e-16,8.47555987541976e-34,"AT4G09890"
"AT3G04520",0,1.38467510332833,0.692,0.072,0,0,1.09555768336976,0.511,0.105,0,0,0,"AT3G04520"
"AT4G29100",0,0.787507419621468,0.508,0.064,0,0,0.56151160032844,0.431,0.106,0,0,0,"AT4G29100"
"AT2G46650",6.96375979417307e-174,1.58471892015203,0.511,0.195,1.27833738541635e-169,0,1.86094407599633,0.512,0.18,0,6.96375979417307e-174,0,"AT2G46650"
