"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G02460",0,0.287057116359351,0.107,0.001,0,0,0.659737034863565,0.246,0.002,0,0,0,"AT1G02460"
"AT1G22900",0,2.53873348126506,0.481,0.008,0,0,1.03703060268758,0.293,0.003,0,0,0,"AT1G22900"
"AT1G69310",0,0.534963430260698,0.247,0.006,0,0,0.368228881104036,0.239,0.012,0,0,0,"AT1G69310"
"AT5G28030",0,1.61171398463207,0.422,0.006,0,0,0.95322993597768,0.425,0.014,0,0,0,"AT5G28030"
"AT5G40780",0,0.488561511909991,0.188,0.003,0,0,1.65805972472329,0.259,0.015,0,0,0,"AT5G40780"
"AT5G46730",0,0.623285042363821,0.199,0.006,0,0,1.43941257283411,0.448,0.008,0,0,0,"AT5G46730"
"AT5G62150",0,0.349081021725643,0.123,0.002,0,0,0.473605452986566,0.163,0.006,0,0,0,"AT5G62150"
"AT5G62680",0,1.25387105338441,0.256,0.015,0,1.6728406859024e-246,1.17921156433537,0.301,0.048,3.07083364711103e-242,1.6728406859024e-246,0,"AT5G62680"
"AT3G16660",0,3.61986103487386,0.107,0.002,0,0,4.5098903164466,0.267,0.013,0,0,0,"AT3G16660"
"AT3G25710",0,1.2961668789392,0.335,0.023,0,0,1.46127977313819,0.515,0.044,0,0,0,"AT3G25710"
"AT3G51060",0,0.346366072788295,0.197,0.001,0,0,1.28249758276364,0.643,0.008,0,0,0,"AT3G51060"
"AT3G60890",0,0.614552622482881,0.177,0.004,0,0,2.80394925714377,0.642,0.018,0,0,0,"AT3G60890"
"AT2G04160",0,1.56635896671115,0.338,0.009,0,0,1.05642899096357,0.341,0.004,0,0,0,"AT2G04160"
"AT2G38940",0,0.391805144541928,0.127,0.001,0,0,1.36200870629208,0.305,0.006,0,0,0,"AT2G38940"
"AT2G43610",0,2.15650864079611,0.501,0.006,0,0,1.20083140952269,0.401,0.004,0,0,0,"AT2G43610"
"AT4G19810",0,1.4489054276091,0.284,0.005,0,0,1.27834987520484,0.235,0.005,0,0,0,"AT4G19810"
"AT4G21215",0,0.89227856745635,0.399,0.032,0,0,0.796914792426945,0.348,0.023,0,0,0,"AT4G21215"
"AT4G23300",0,0.865627818984545,0.311,0.026,0,0,0.555392828774301,0.213,0.004,0,0,0,"AT4G23300"
"AT4G23550",0,1.27518509120294,0.37,0.014,0,0,2.06159027935338,0.459,0.005,0,0,0,"AT4G23550"
"AT4G24120",0,0.558699211042994,0.243,0.01,0,0,0.716486872918938,0.292,0.005,0,0,0,"AT4G24120"
"AT4G36160",0,0.607768066205545,0.197,0.009,0,0,1.29983958235362,0.524,0.019,0,0,0,"AT4G36160"
"AT4G36260",0,0.601687490892971,0.324,0.011,0,0,1.37154909310733,0.684,0.024,0,0,0,"AT4G36260"
"AT3G24450",4.61260868173581e-251,0.262116361992981,0.106,0.003,8.46736575706243e-247,0,1.26098195316393,0.549,0.022,0,4.61260868173581e-251,0,"AT3G24450"
"AT2G29995",2.75163775774765e-217,0.939952603762614,0.299,0.036,5.05118143189735e-213,0,1.55065362200909,0.24,0.017,0,2.75163775774765e-217,0,"AT2G29995"
"AT2G24260",6.02308807922005e-203,0.364155278979207,0.17,0.012,1.10565827870242e-198,0,0.701409726858982,0.432,0.028,0,6.02308807922005e-203,0,"AT2G24260"
"AT5G03790",1.72611610261115e-185,0.454712932567623,0.186,0.016,3.16863132956329e-181,0,1.38717711678394,0.579,0.039,0,1.72611610261115e-185,0,"AT5G03790"
"AT5G60970",7.57410206595191e-177,0.588533633783757,0.343,0.058,1.39037791624679e-172,0,1.30915590504255,0.685,0.085,0,7.57410206595191e-177,0,"AT5G60970"
"AT4G23290",1.9797462643807e-175,0.419205722602478,0.195,0.019,3.63422021752365e-171,0,0.411291235726438,0.153,0.001,0,1.9797462643807e-175,0,"AT4G23290"
"AT2G41130",3.76422182393564e-166,0.763888084532004,0.299,0.045,6.90998200219866e-162,0,1.28796817444297,0.57,0.049,0,3.76422182393564e-166,0,"AT2G41130"
"AT5G50130",1.74063370266094e-162,0.428616105793772,0.168,0.015,3.19528128797468e-158,0,0.928095758906831,0.191,0.013,0,1.74063370266094e-162,0,"AT5G50130"
"AT2G43590",4.81991506251613e-130,2.54138379772469,0.318,0.064,8.84791808026087e-126,0,1.39631187105791,0.146,0.001,0,4.81991506251613e-130,0,"AT2G43590"
"AT4G02940",1.85602845815732e-66,0.312182205839462,0.159,0.03,3.40711144063939e-62,0,0.374976938119005,0.244,0.017,0,1.85602845815732e-66,0,"AT4G02940"
"AT4G16447",1.31934046727306e-44,0.2918707458209,0.159,0.04,2.42191329577316e-40,0,0.684082682939148,0.351,0.045,0,1.31934046727306e-44,0,"AT4G16447"
"AT5G08070",7.41350224259353e-194,0.587552428262717,0.245,0.027,1.3608966066729e-189,2.08923936116972e-232,0.281303014472939,0.165,0.015,3.83521669529926e-228,7.41350224259353e-194,4.17847872233913e-232,"AT5G08070"
"AT3G10120",1.71993535911755e-149,0.451631306615721,0.193,0.022,3.15728533873209e-145,1.60457297409079e-197,0.621954816452899,0.284,0.051,2.94551460853846e-193,1.71993535911755e-149,3.20914594818159e-197,"AT3G10120"
"AT3G27400",9.99515981471281e-183,0.314539015308524,0.168,0.013,1.83481148718683e-178,3.66012034494878e-162,0.394317219648092,0.146,0.016,6.71888291722247e-158,3.66012034494878e-162,1.9990319629426e-182,"AT3G27400"
"AT5G11320",2.00349244014202e-174,0.510750706823897,0.157,0.012,3.6778110723687e-170,2.65547044023182e-89,0.259896738934739,0.202,0.05,4.87464708713356e-85,2.65547044023182e-89,4.00698488028413e-174,"AT5G11320"
"AT4G36670",1.39471734468809e-54,0.527174885285713,0.25,0.077,2.56028262964393e-50,1.67433122319267e-139,0.44832424389197,0.136,0.017,3.07356982641479e-135,1.39471734468809e-54,3.34866244638527e-139,"AT4G36670"
"AT3G53960",8.94700581340194e-59,0.277733433911958,0.116,0.019,1.64240185716619e-54,8.0153260347548e-107,0.528782282873317,0.165,0.031,1.47137340019994e-102,8.94700581340194e-59,1.60306520695096e-106,"AT3G53960"
"AT2G16700",9.91236404325263e-105,0.681296472317727,0.267,0.054,1.81961266741988e-100,1.13936188632917e-17,0.460363049849918,0.155,0.079,2.09152661473445e-13,1.13936188632917e-17,1.98247280865053e-104,"AT2G16700"
"AT1G69870",7.16306062899488e-31,0.469260145882609,0.238,0.097,1.31492303966459e-26,9.69740960004913e-86,1.09210134449743,0.237,0.07,1.78015348028102e-81,7.16306062899488e-31,1.93948192000985e-85,"AT1G69870"
"AT5G50160",1.07966901035205e-68,0.293047147121625,0.138,0.022,1.98194840230325e-64,1.04068477113259e-37,0.297299316604088,0.109,0.032,1.9103850343681e-33,1.04068477113259e-37,2.1593380207041e-68,"AT5G50160"
"AT3G05730",0,7.22222972179022,0.741,0.114,0,0,6.76442432400429,0.684,0.099,0,0,0,"AT3G05730"
