"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G24620",0,0.330580894458371,0.415,0,0,"AT1G24620"
"AT3G25160",0,0.318762988194873,0.245,0,0,"AT3G25160"
"AT5G39420",0,0.324658454370137,0.372,0.001,0,"AT5G39420"
"AT5G65790",0,0.480726888957854,0.149,0.001,0,"AT5G65790"
"AT3G53040",0,0.257492999749566,0.277,0.001,0,"AT3G53040"
"AT2G02250",0,1.70853967139888,0.766,0.001,0,"AT2G02250"
"AT4G01450",0,0.432140123733138,0.277,0.001,0,"AT4G01450"
"AT5G16080",0,0.578265261639231,0.521,0.002,0,"AT5G16080"
"AT5G43570",0,1.29267900045136,0.266,0.002,0,"AT5G43570"
"AT2G40740",0,0.633105032349826,0.489,0.002,0,"AT2G40740"
"AT2G43870",0,0.70527921594891,0.33,0.002,0,"AT2G43870"
"AT2G38900",0,2.32491373454747,0.723,0.003,0,"AT2G38900"
"AT4G01440",0,1.21670698162854,0.585,0.003,0,"AT4G01440"
"AT5G39610",0,1.19905449930519,0.266,0.004,0,"AT5G39610"
"AT5G59390",0,0.268286365828699,0.287,0.004,0,"AT5G59390"
"AT4G04450",0,0.475145588640463,0.511,0.004,0,"AT4G04450"
"AT4G38000",0,0.420779502884544,0.436,0.004,0,"AT4G38000"
"AT5G18270",0,0.760983139614567,0.287,0.005,0,"AT5G18270"
"AT3G58000",0,0.55211033196994,0.489,0.005,0,"AT3G58000"
"AT1G12480",1.03013451331217e-244,0.273329544780374,0.266,0.005,1.89101792608714e-240,"AT1G12480"
"AT2G22320",2.28599930670519e-72,0.489208166042887,0.138,0.005,4.19640892731871e-68,"AT2G22320"
"AT5G53730",4.98822341649776e-269,1.14970911985525,0.287,0.006,9.15688172566494e-265,"AT5G53730"
"AT3G63050",6.74642758560038e-120,0.261087621559057,0.202,0.006,1.23844171188866e-115,"AT3G63050"
"AT5G42690",0,0.641814899923959,0.649,0.007,0,"AT5G42690"
"AT5G45580",0,0.694084919610026,0.521,0.007,0,"AT5G45580"
"AT2G39830",0,0.415161633589113,0.489,0.007,0,"AT2G39830"
"AT5G40960",0,1.35064620009225,0.84,0.008,0,"AT5G40960"
"AT1G70130",4.75314922234566e-83,0.37359553506011,0.191,0.008,8.72535602745993e-79,"AT1G70130"
"AT1G65910",0,0.481616373038351,0.457,0.009,0,"AT1G65910"
"AT1G78530",1.29383179771984e-24,0.334117098586643,0.106,0.009,2.37508703107431e-20,"AT1G78530"
"AT3G10185",0,1.08791324454602,0.734,0.01,0,"AT3G10185"
"AT1G72800",3.38923671687533e-39,0.467312630394194,0.149,0.01,6.22162184116804e-35,"AT1G72800"
"AT3G57600",0,3.02177751076894,0.926,0.011,0,"AT3G57600"
"AT2G45890",0,1.21458085927333,0.766,0.011,0,"AT2G45890"
"AT1G52140",3.83640789943784e-119,0.432613973956225,0.266,0.011,7.04249398099804e-115,"AT1G52140"
"AT5G02260",0,0.911603396527034,0.628,0.012,0,"AT5G02260"
"AT5G02460",0,1.92473686329734,0.936,0.012,0,"AT5G02460"
"AT3G56620",2.54714708325376e-56,0.535442923336075,0.191,0.012,4.67579790072893e-52,"AT3G56620"
"AT1G71160",3.62345490821688e-235,0.376391707619303,0.404,0.013,6.65157617501373e-231,"AT1G71160"
"AT1G13520",1.23314087137802e-19,0.49279157325748,0.117,0.013,2.26367669758864e-15,"AT1G13520"
"AT3G06360",2.79302135571132e-137,0.294902495257798,0.319,0.014,5.12714930267927e-133,"AT3G06360"
"AT3G24140",0,2.75898398704877,0.979,0.015,0,"AT3G24140"
"AT4G34530",0,0.693246920284674,0.628,0.015,0,"AT4G34530"
"AT3G49370",1.49289848197936e-124,0.299117668570689,0.319,0.015,2.74051374336951e-120,"AT3G49370"
"AT1G16960",0,1.03326302533745,0.798,0.016,0,"AT1G16960"
"AT2G32510",3.39475206441387e-293,0.739185659610058,0.5,0.016,6.23174636464454e-289,"AT2G32510"
"AT3G01750",9.85745376196273e-155,0.295860359254249,0.362,0.016,1.8095327870835e-150,"AT3G01750"
"AT3G54490",1.82019427836269e-141,0.273851170258826,0.351,0.016,3.34133063679039e-137,"AT3G54490"
"AT1G75390",0,0.668625389477702,0.596,0.017,0,"AT1G75390"
"AT2G36470",3.38532337701538e-139,0.279515152391835,0.362,0.017,6.21443812318714e-135,"AT2G36470"
"AT4G38420",8.5139266293056e-44,0.30904775368347,0.202,0.017,1.56290151134163e-39,"AT4G38420"
"AT1G69920",3.4886745670358e-11,0.354214220106172,0.106,0.017,6.40415990270762e-07,"AT1G69920"
"AT1G23760",0,0.488566489183528,0.574,0.018,0,"AT1G23760"
"AT1G71050",0,3.11054583760092,0.979,0.019,0,"AT1G71050"
"AT5G54130",1.42124961862017e-143,0.635567889622411,0.383,0.019,2.60898792490105e-139,"AT5G54130"
