"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT2G18050",1.25773584030998e-255,0.264228896559442,0.128,0.017,2.30882568205704e-251,"AT2G18050"
"AT3G25100",0,0.372851246620553,0.409,0.093,0,"AT3G25100"
"AT5G38020",1.89218721628009e-280,0.25848323689898,0.342,0.094,3.47348807292537e-276,"AT5G38020"
"AT5G09370",5.82494249708227e-232,0.38659111334293,0.316,0.094,1.06928469418939e-227,"AT5G09370"
"AT3G48160",0,0.294193175440317,0.358,0.097,0,"AT3G48160"
"AT3G60660",0,0.28486676319061,0.391,0.099,0,"AT3G60660"
"AT3G05480",0,0.331835425153455,0.416,0.106,0,"AT3G05480"
"AT4G15160",0,0.604617271014127,0.438,0.122,0,"AT4G15160"
"AT1G47210",0,1.40715652066686,0.623,0.135,0,"AT1G47210"
"AT5G54000",0,0.288455006862425,0.454,0.141,0,"AT5G54000"
"AT4G33400",1.0218571223052e-306,0.274383597286727,0.508,0.17,1.87582311941566e-302,"AT4G33400"
"AT2G42260",0,1.24808418331881,0.853,0.172,0,"AT2G42260"
"ATCG00890",0,0.357755019836344,0.533,0.174,0,"ATCG00890"
"AT1G80190",0,0.408061984801399,0.536,0.177,0,"AT1G80190"
"AT4G14310",0,0.621330887317713,0.72,0.18,0,"AT4G14310"
"AT1G31710",7.2943630686538e-264,0.306399692412287,0.505,0.181,1.33902622851278e-259,"AT1G31710"
"AT1G10780",0,0.394289430087169,0.61,0.187,0,"AT1G10780"
"AT1G12100",3.72101022510487e-288,0.690203166932486,0.518,0.189,6.83065847022501e-284,"AT1G12100"
"AT1G54385",0,0.403745761650303,0.612,0.194,0,"AT1G54385"
"AT1G09470",0,0.465623338165538,0.591,0.203,0,"AT1G09470"
"AT4G14770",0,0.387222577174579,0.593,0.203,0,"AT4G14770"
"AT1G09420",7.8024056120072e-223,0.256288441409445,0.505,0.204,1.43228759819616e-218,"AT1G09420"
"AT1G57820",0,1.04387297629224,0.798,0.205,0,"AT1G57820"
"AT3G57860",0,0.618675740738157,0.73,0.207,0,"AT3G57860"
"AT1G75190",7.69008955121442e-232,0.330685854927779,0.515,0.21,1.41166973891643e-227,"AT1G75190"
"AT4G29170",1.74393388744793e-299,0.341628759948728,0.56,0.211,3.20133943718816e-295,"AT4G29170"
"AT1G80740",0,1.3205465585328,0.929,0.213,0,"AT1G80740"
"AT5G65510",2.53947311033876e-305,0.38894338697503,0.576,0.213,4.66171078864886e-301,"AT5G65510"
"AT3G07800",0,0.482555705534385,0.599,0.215,0,"AT3G07800"
"AT2G32590",0,0.611397618273065,0.764,0.215,0,"AT2G32590"
"AT4G02700",0,0.708428155567063,0.665,0.219,0,"AT4G02700"
"AT3G13000",7.8512174095644e-272,0.42657580110551,0.551,0.222,1.44124797987374e-267,"AT3G13000"
