"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G29270",3.69796143663128e-240,0.383205915844057,0.255,0.061,6.78834780922404e-236,"AT1G29270"
"AT5G52220",1.40031678982175e-270,0.34716330912983,0.343,0.098,2.57056153107579e-266,"AT5G52220"
"AT5G50930",0,0.487735429225253,0.496,0.16,0,"AT5G50930"
"AT1G76090",7.02523860787477e-261,0.511225533003032,0.54,0.212,1.28962305124757e-256,"AT1G76090"
"AT3G15260",3.68764974750129e-248,0.389598273658223,0.531,0.213,6.76941864148812e-244,"AT3G15260"
"AT3G12170",0,0.545727242933479,0.594,0.225,0,"AT3G12170"
"AT3G14210",2.33304673458774e-290,1.0115037353429,0.613,0.244,4.28277389068272e-286,"AT3G14210"
"AT5G38110",0,0.554423332495147,0.647,0.255,0,"AT5G38110"
"ATCG00750",0,0.493491801267797,0.655,0.259,0,"ATCG00750"
"AT3G52630",2.23833767224472e-286,0.692704725295375,0.624,0.261,4.10891646493962e-282,"AT3G52630"
"AT3G02820",2.99605351262671e-213,0.417599077668362,0.596,0.263,5.49985543312885e-209,"AT3G02820"
"AT3G55040",0,0.585745679811161,0.713,0.269,0,"AT3G55040"
"AT1G20010",0,0.685780351691493,0.694,0.278,0,"AT1G20010"
"AT5G51545",0,0.641525462400093,0.738,0.281,0,"AT5G51545"
"ATCG01060",9.67599165176055e-252,0.446260764489875,0.689,0.297,1.77622178751368e-247,"ATCG01060"
"AT4G30760",1.3582399199553e-245,0.463162441462076,0.671,0.305,2.49332102106195e-241,"AT4G30760"
"AT1G73490",0,0.53716116449248,0.752,0.313,0,"AT1G73490"
"AT5G02710",0,0.703347098578134,0.801,0.314,0,"AT5G02710"
"AT2G15910",6.2943449151073e-222,0.407507375314595,0.694,0.318,1.15545289606625e-217,"AT2G15910"
"AT3G01740",0,0.544329930887957,0.759,0.324,0,"AT3G01740"
"AT5G54970",1.79338658852865e-169,0.348928867277986,0.627,0.324,3.29211976056204e-165,"AT5G54970"
"AT5G62720",2.41165677084083e-154,0.352985077643592,0.638,0.337,4.42707833423252e-150,"AT5G62720"
"ATCG01080",1.9777298476046e-262,0.484819614923103,0.765,0.342,3.63051868124776e-258,"ATCG01080"
"AT3G48030",0,0.606901620977704,0.805,0.346,0,"AT3G48030"
"ATCG00730",2.88208752094361e-266,0.4874973103266,0.78,0.349,5.29064806219618e-262,"ATCG00730"
"AT5G19190",6.10554639868388e-163,0.465854633956223,0.656,0.352,1.1207951524064e-158,"AT5G19190"
"AT3G16100",2.50005098156813e-220,0.441679384885729,0.694,0.356,4.58934358686461e-216,"AT3G16100"
"AT4G18590",0,0.72346961329422,0.83,0.357,0,"AT4G18590"
