"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT5G56120",0.985586990084769,0.333,0.027,1,"GEP_19 and DEGs","No"
"AT1G63100",0.747846998719786,0.4065,0.034,2,"DEGs","Yes"
"AT3G12870",1.2581163207456,0.38,0.039,3,"GEP_2 and DEGs","No"
"AT3G51280",1.0826767045859,0.433,0.039,4,"GEP_2 and DEGs","No"
"AT3G51230",1.61751196821629,0.338,0.04,5,"GEP_19 and DEGs","No"
"AT3G51740",1.05674505260241,0.405,0.04,6,"GEP_19 and DEGs","No"
"AT5G66230",1.79187791157383,0.421,0.045,7,"GEP_2 and DEGs","No"
"AT2G42110",1.50454870295243,0.425,0.049,8,"GEP_19 and DEGs","No"
"AT5G45700",1.12836667938638,0.575,0.05,9,"GEP_2 and DEGs","No"
"AT3G03130",1.13838338218111,0.566,0.054,10,"GEP_2 and DEGs","No"
"AT4G01730",0.775799782742276,0.615,0.054,11,"GEP_36 and DEGs","No"
"AT3G16280",0.45091257042724,0.3205,0.054,12,"DEGs","Yes"
"AT5G01910",1.37403377241353,0.594,0.055,13,"GEP_36 and DEGs","No"
"AT4G14330",1.03564627444907,0.631,0.057,14,"GEP_2 and DEGs","No"
"AT4G35620",1.55285545995531,0.551,0.057,15,"GEP_2 and DEGs","No"
"AT4G15830",1.41845723924752,0.615,0.06,16,"GEP_2 and DEGs","No"
"AT5G44040",1.09806398082228,0.479,0.06,17,"GEP_19 and DEGs","No"
"AT3G02640",2.49119902597826,0.437,0.061,18,"GEP_19 and DEGs","No"
"AT5G06150",1.75299646493848,0.541,0.065,19,"GEP_2 and DEGs","No"
"AT5G25090",1.71086531891773,0.459,0.067,20,"GEP_19 and DEGs","No"
"AT3G25980",1.22193175601839,0.61,0.068,21,"GEP_2 and DEGs","No"
"AT3G58650",0.890025274059062,0.669,0.068,22,"GEP_36 and DEGs","No"
"AT5G03870",0.839689681362637,0.565,0.069,23,"GEP_19 and DEGs","No"
"AT3G14190",1.18150551291708,0.495,0.071,24,"GEP_19 and DEGs","No"
"AT3G02120",2.1456702064381,0.498,0.072,25,"GEP_19 and DEGs","No"
"AT1G44110",1.2188740707606,0.629,0.075,26,"GEP_36 and DEGs","No"
"AT1G08560",2.2950839730401,0.647,0.075,27,"DEGs","No"
"AT5G27550",0.823809037713581,0.659,0.079,28,"GEP_36 and DEGs","No"
"AT1G53140",0.795799070131505,0.598,0.079,29,"GEP_36 and DEGs","No"
"AT4G13370",0.824306873293452,0.651,0.082,30,"GEP_36 and DEGs","No"
"AT2G25060",1.98914803924864,0.559,0.09,31,"DEGs","No"
"AT5G48460",0.783840676966471,0.682,0.091,32,"GEP_36 and DEGs","No"
"AT1G20930",1.23260606121891,0.761,0.092,33,"GEP_36 and DEGs","No"
"AT5G37010",0.910251712586296,0.604,0.098,34,"GEP_36 and DEGs","No"
"AT5G17160",1.49399639953208,0.7275,0.1045,35,"DEGs","No"
"AT5G16250",2.62710230895688,0.617,0.107,36,"DEGs","No"
"AT4G33270",1.76711456874903,0.571,0.1075,37,"DEGs","No"
"AT2G25880",1.51574057921036,0.834,0.1145,38,"DEGs","No"
"AT2G33400",1.08031194548269,0.793,0.1305,39,"DEGs","No"
"AT5G47500",1.99510539951944,0.659,0.1465,40,"DEGs","No"
"AT3G17680",1.56680930853214,0.738,0.153,41,"DEGs","No"
"AT4G31840",2.2953493643449,0.664,0.237,42,"DEGs","No"
"AT1G14720",0.320368306446813,0.543,0.375,43,"GEP_22","No"
"AT5G08000",1.21727845699892,0.87,0.551,44,"GEP_22 and DEGs","No"
"AT4G03210",1.14199246376314,0.887,0.662,45,"GEP_22 and DEGs","No"
"AT1G14410",0.391572246411677,0.909,0.692,46,"GEP_22","Yes"
"AT5G20890",0.251830541322056,0.918,0.713,47,"GEP_22","No"
"AT1G48920",0.421703826828666,0.884,0.755,48,"GEP_22","No"
"AT2G14890",0.34203706920846,0.943,0.804,49,"GEP_22","No"
"AT1G14980",0.298347837963282,0.969,0.896,50,"GEP_22","No"
"AT5G56710",0.322608847216205,1,0.994,51,"GEP_22 and DEGs","No"
