"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT2G40670",0.862133984043779,0.3,0.022,1,"GEP_9 and DEGs","No"
"AT1G34245",2.26111162013708,0.451,0.026,2,"GEP_9 and DEGs","No"
"AT4G17680",0.811587379172829,0.392,0.029,3,"GEP_9","No"
"AT5G60880",2.20550558082228,0.7315,0.03,4,"DEGs","No"
"AT5G10890",1.12013671623164,0.551,0.0315,5,"DEGs","No"
"AT3G14760",1.03641990423443,0.311,0.043,6,"GEP_9 and DEGs","No"
"AT1G65620",0.648533020312618,0.311,0.043,7,"DEGs","Yes"
"AT5G53210",1.58423791365537,0.716,0.046,8,"GEP_9 and DEGs","Yes"
"AT3G62070",1.97387756063354,0.588,0.048,9,"GEP_9 and DEGs","No"
"AT5G56120",1.4015587975791,0.3765,0.048,10,"DEGs","No"
"AT2G02450",1.02427148567065,0.493,0.05,11,"GEP_9 and DEGs","Yes"
"AT1G80080",3.02073401927617,0.718,0.058,12,"GEP_9 and DEGs","No"
"AT3G12870",1.960563350869,0.438,0.061,13,"GEP_2 and DEGs","No"
"AT2G16270",1.06188647573462,0.483,0.062,14,"GEP_2 and DEGs","No"
"AT1G78170",0.605077532010404,0.399,0.062,15,"GEP_12 and DEGs","No"
"AT3G51280",1.48183721847249,0.427,0.066,16,"GEP_2 and DEGs","No"
"AT5G66230",2.05987889807627,0.435,0.071,17,"GEP_2 and DEGs","No"
"AT4G37490",1.07334042335163,0.463,0.072,18,"GEP_2 and DEGs","No"
"AT2G42110",1.90822743282684,0.4395,0.074,19,"DEGs","No"
"AT3G05330",1.00734378057717,0.423,0.077,20,"GEP_2 and DEGs","No"
"AT1G69160",0.732198855011362,0.499,0.078,21,"GEP_9 and DEGs","No"
"AT5G15310",0.602340160019782,0.4605,0.081,22,"DEGs","Yes"
"AT3G22760",0.892912392304308,0.463,0.084,23,"GEP_9 and DEGs","Yes"
"AT3G02640",2.55661691234408,0.4765,0.0855,24,"DEGs","No"
"AT5G45700",1.27592071913271,0.529,0.089,25,"GEP_2 and DEGs","No"
"AT3G03130",1.34074463618719,0.511,0.092,26,"GEP_2 and DEGs","No"
"AT4G35620",1.46346806422258,0.506,0.093,27,"GEP_2 and DEGs","No"
"AT5G25090",2.26880217829983,0.485,0.094,28,"DEGs","No"
"AT5G46880",0.665405761308274,0.59,0.095,29,"DEGs","Yes"
"AT1G02730",1.25704154310933,0.579,0.099,30,"GEP_2 and DEGs","No"
"AT5G06150",1.70982779606756,0.5085,0.099,31,"DEGs","No"
"AT4G14330",1.28483833974267,0.5615,0.0995,32,"DEGs","No"
"AT3G61550",0.455996739073941,0.445,0.105,33,"GEP_12 and DEGs","No"
"AT1G76310",1.37028916032778,0.557,0.11,34,"DEGs","No"
"AT4G31805",1.48385373294687,0.6165,0.1235,35,"DEGs","No"
"AT5G11510",0.687997722086976,0.5505,0.1265,36,"DEGs","Yes"
"AT4G04890",1.54489047890144,0.8125,0.127,37,"DEGs","Yes"
"AT3G28910",0.971208248029455,0.679,0.1335,38,"DEGs","Yes"
"AT1G26570",0.295015318755772,0.388,0.137,39,"GEP_12","No"
"AT4G21750",1.22350984005203,0.7995,0.138,40,"DEGs","Yes"
"AT1G78210",0.483122155413313,0.53,0.148,41,"GEP_12 and DEGs","No"
"AT5G45490",0.442290794251143,0.278,0.151,42,"GEP_12","No"
"AT1G14440",1.35500553191825,0.748,0.154,43,"DEGs","Yes"
"AT4G14770",0.671039264343579,0.5285,0.2035,44,"DEGs","Yes"
"AT3G26744",1.3755859761233,0.8165,0.3995,45,"DEGs","Yes"
