"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT3G10080",1.62674274364073,0.173,0.002,1,"DEGs","No"
"AT4G19810",1.57689275359092,0.318,0.005,2,"GEP_7 and DEGs","No"
"AT1G22900",2.03100526158588,0.439,0.006,3,"GEP_7 and DEGs","No"
"AT2G04160",1.52675031038751,0.429,0.006,4,"GEP_28 and DEGs","No"
"AT2G43610",1.82938193573091,0.466,0.007,5,"GEP_28 and DEGs","No"
"AT5G08370",1.13737936998309,0.295,0.007,6,"DEGs","No"
"AT3G16660",4.42636585154834,0.2455,0.0075,7,"DEGs","No"
"AT5G46730",1.37565232583354,0.431,0.008,8,"GEP_28 and DEGs","No"
"AT5G63850",1.45069954689366,0.29,0.008,9,"GEP_28","No"
"AT5G40780",1.54899130361236,0.277,0.009,10,"GEP_7 and DEGs","No"
"AT1G69310",0.519558640090163,0.269,0.0095,11,"DEGs","Yes"
"AT4G23550",1.9493515934687,0.476,0.011,12,"GEP_28 and DEGs","Yes"
"AT5G19530",2.90737862598804,0.323,0.0115,13,"DEGs","No"
"AT2G43050",1.07546788957976,0.281,0.012,14,"GEP_28","No"
"AT5G28030",1.41518300843363,0.454,0.012,15,"GEP_28 and DEGs","No"
"AT5G50130",1.01045412998457,0.271,0.013,16,"GEP_28 and DEGs","No"
"AT3G51030",1.34900684193248,0.293,0.0135,17,"DEGs","No"
"AT4G36160",1.3734639386832,0.511,0.014,18,"GEP_28 and DEGs","Yes"
"AT2G30400",0.67869172964082,0.117,0.016,19,"GEP_7","No"
"AT2G24260",0.630243251957111,0.347,0.0215,20,"DEGs","Yes"
"AT5G08070",0.394149165691964,0.176,0.0225,21,"DEGs","Yes"
"AT2G13820",1.38044498135843,0.189,0.024,22,"DEGs","No"
"AT2G29995",1.58292254285724,0.339,0.026,23,"GEP_7 and DEGs","No"
"AT1G61660",0.526126035113404,0.208,0.0275,24,"DEGs","Yes"
"AT5G62680",1.40505189345891,0.356,0.031,25,"GEP_28 and DEGs","No"
"AT2G43590",2.30261598680303,0.277,0.032,26,"GEP_7 and DEGs","No"
"AT3G25710",2.03816222727523,0.6005,0.0325,27,"DEGs","Yes"
"AT4G13180",1.10182641003229,0.248,0.044,28,"GEP_7","No"
"AT2G41130",1.61066752344243,0.576,0.047,29,"DEGs","Yes"
"AT1G66230",0.438164143802927,0.176,0.065,30,"DEGs","Yes"
"AT3G14060",0.749079685113414,0.258,0.072,31,"GEP_7","No"
"AT5G52050",0.9244352554692,0.146,0.075,32,"GEP_7","No"
"AT5G50200",1.99185694833812,0.429,0.076,33,"GEP_7 and DEGs","No"
"AT3G05730",7.60037122626017,0.7015,0.1095,34,"DEGs","No"
"AT1G29950",1.21478237655905,0.523,0.1485,35,"DEGs","Yes"
"AT5G49280",1.32543758068682,0.642,0.1565,36,"DEGs","No"
"AT5G19550",1.35824632415046,0.6855,0.234,37,"DEGs","No"
"AT4G37870",2.09036798992286,0.6415,0.2835,38,"DEGs","No"
