"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT3G62820",1.2053040660495,0.453,0.002,1,"GEP_47 and DEGs","No"
"AT2G21140",1.49628909209825,0.29,0.002,2,"DEGs","No"
"AT3G06120",3.12542562292562,0.3355,0.0025,3,"DEGs","Yes"
"AT2G20875",2.66231716907094,0.599,0.004,4,"GEP_47 and DEGs","No"
"AT1G08810",1.6547669179474,0.5785,0.004,5,"DEGs","Yes"
"AT2G45890",1.12246331434088,0.37,0.008,6,"GEP_47 and DEGs","No"
"AT3G06778",1.43604601196167,0.581,0.008,7,"GEP_47 and DEGs","No"
"AT1G04110",2.36872880590702,0.308,0.0095,8,"DEGs","No"
"AT1G26600",1.27950931679676,0.578,0.01,9,"GEP_47 and DEGs","No"
"AT3G24140",2.29223470039655,0.5945,0.011,10,"DEGs","Yes"
"AT1G16960",1.59680741103928,0.6165,0.0115,11,"DEGs","No"
"AT1G10060",1.53527342585299,0.481,0.012,12,"GEP_26","No"
"AT4G38420",1.00313508482289,0.254,0.015,13,"GEP_26 and DEGs","No"
"AT3G26960",1.40501548698354,0.285,0.016,14,"GEP_47 and DEGs","No"
"AT1G71050",1.67687856225579,0.2825,0.0185,15,"DEGs","No"
"AT5G66400",2.74646697501529,0.2305,0.0205,16,"DEGs","No"
"AT5G66440",2.0633284395962,0.543,0.021,17,"DEGs","No"
"AT3G17640",1.04485128919878,0.327,0.021,18,"GEP_47 and DEGs","No"
"AT2G29995",1.22947304008382,0.4445,0.0275,19,"DEGs","No"
"AT1G63180",2.06873743414058,0.651,0.029,20,"GEP_26 and DEGs","No"
"AT2G24520",0.888854974945456,0.282,0.029,21,"GEP_26","No"
"AT2G46070",1.84668640676983,0.691,0.0315,22,"DEGs","No"
"AT5G23400",2.26120922227246,0.151,0.035,23,"GEP_47 and DEGs","No"
"AT1G11850",4.76621575266886,0.713,0.037,24,"GEP_47 and DEGs","No"
"AT1G68500",1.54382487100836,0.519,0.044,25,"GEP_47","No"
"AT3G20860",1.80332902082667,0.628,0.0505,26,"DEGs","No"
"AT3G50900",1.64732462872063,0.441,0.058,27,"GEP_26","No"
"AT2G47485",1.81927467643937,0.645,0.063,28,"GEP_26 and DEGs","No"
"AT2G19450",0.845042265621883,0.472,0.081,29,"GEP_26 and DEGs","No"
"AT3G22760",0.862364938526709,0.4625,0.094,30,"DEGs","Yes"
"AT1G62300",1.50136269820784,0.542,0.096,31,"GEP_26 and DEGs","Yes"
"AT3G19930",1.53967618725894,0.457,0.098,32,"GEP_26 and DEGs","No"
"AT2G47890",1.42059049234092,0.573,0.099,33,"GEP_26 and DEGs","Yes"
"AT3G28910",2.45243292227113,0.7765,0.147,34,"DEGs","Yes"
"AT4G04890",0.539721481615103,0.5225,0.148,35,"DEGs","Yes"
"AT1G53060",2.02346849088815,0.682,0.1575,36,"DEGs","No"
"AT4G21750",0.808708106763373,0.613,0.158,37,"DEGs","Yes"
"AT5G06710",1.68522045820483,0.7255,0.213,38,"DEGs","Yes"
"AT4G37790",1.28830201470394,0.763,0.247,39,"DEGs","Yes"
"AT3G26744",1.51455222521603,0.873,0.4085,40,"DEGs","Yes"
