"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT5G03150",0.631605069965333,0.416,0.012,1,"GEP_33 and DEGs","Yes"
"AT3G50870",0.735593277714816,0.361,0.022,2,"GEP_33 and DEGs","Yes"
"AT1G44830",0.57870711913507,0.32,0.023,3,"GEP_33","Yes"
"AT4G24275",0.688785844192279,0.451,0.036,4,"GEP_33 and DEGs","No"
"AT1G31040",0.593190889319681,0.449,0.05,5,"GEP_33","No"
"AT4G15210",1.320791456405,0.441,0.051,6,"GEP_33","No"
"AT4G11320",3.36073396012387,0.69,0.053,7,"GEP_33 and DEGs","No"
"AT1G26960",0.351258273395488,0.3275,0.056,8,"DEGs","Yes"
"AT5G61290",0.992360002709512,0.495,0.061,9,"GEP_33","No"
"AT5G22580",0.691960064223594,0.2225,0.073,10,"DEGs","No"
"AT3G55240",0.844018643985091,0.32,0.078,11,"GEP_33","No"
"AT1G26945",0.536094914774518,0.249,0.078,12,"DEGs","Yes"
"AT3G20898",0.495913312045181,0.399,0.096,13,"GEP_33 and DEGs","No"
"AT2G42610",1.62040542107904,0.7395,0.106,14,"DEGs","No"
"AT1G69780",0.666594018113067,0.5705,0.137,15,"DEGs","Yes"
"AT1G31710",0.787015697944703,0.6345,0.1745,16,"DEGs","No"
"AT4G15920",0.721850023667684,0.643,0.2235,17,"DEGs","No"
"AT4G12730",0.742856312003998,0.6405,0.2275,18,"DEGs","No"
"AT1G62480",3.07607720633102,0.908,0.246,19,"DEGs","No"
"AT2G35120",0.686763170259468,0.7235,0.374,20,"DEGs","No"
"AT2G35880",0.788241678495156,0.7425,0.4055,21,"DEGs","No"
"AT2G28790",1.19501601097987,0.853,0.453,22,"DEGs","No"
"AT3G53990",1.09439654531643,0.9445,0.5575,23,"DEGs","No"
