"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT3G21680",0,0.300451138657684,0.196,0.004,0,"AT3G21680"
"AT1G75880",0,0.343246596345938,0.261,0.015,0,"AT1G75880"
"AT5G66700",0,0.294698930854641,0.184,0.016,0,"AT5G66700"
"AT1G03820",0,0.341231408916339,0.212,0.021,0,"AT1G03820"
"AT1G04360",0,0.261955791027969,0.245,0.021,0,"AT1G04360"
"AT3G62570",0,0.351676825085692,0.285,0.022,0,"AT3G62570"
"AT2G18660",6.00730139884392e-263,0.334840649879531,0.166,0.022,9.49153621017339e-259,"AT2G18660"
"AT3G20470",0,1.15423456768925,0.197,0.023,0,"AT3G20470"
"AT3G21090",0,0.266160078813472,0.238,0.023,0,"AT3G21090"
"AT1G04220",0,0.284254281316753,0.222,0.024,0,"AT1G04220"
"AT5G25620",0,0.615017489258261,0.441,0.025,0,"AT5G25620"
"AT5G57780",0,0.496990274458663,0.302,0.025,0,"AT5G57780"
"AT2G34925",0,0.250988333273311,0.247,0.025,0,"AT2G34925"
"AT1G45201",2.83227998337647e-71,0.661554040508493,0.101,0.025,4.47500237373482e-67,"AT1G45201"
"AT1G36060",0,0.372684914831022,0.219,0.026,0,"AT1G36060"
"AT4G08770",0,0.626852841462479,0.296,0.026,0,"AT4G08770"
"AT4G19430",3.44055228149066e-226,0.306871524514044,0.171,0.026,5.43607260475524e-222,"AT4G19430"
"AT1G16515",0,0.323884322480714,0.257,0.027,0,"AT1G16515"
"AT5G49330",0,0.740738201096343,0.462,0.027,0,"AT5G49330"
"AT2G24762",1.79781750625091e-294,0.413596392865741,0.194,0.027,2.84055165987643e-290,"AT2G24762"
"AT1G30370",0,0.55566379581484,0.269,0.028,0,"AT1G30370"
"AT1G53700",0,0.436964287911745,0.368,0.03,0,"AT1G53700"
"AT3G53450",0,0.294813123905834,0.257,0.03,0,"AT3G53450"
"AT2G42990",0,0.605217040995228,0.396,0.031,0,"AT2G42990"
"AT2G39410",0,1.03832961663379,0.316,0.032,0,"AT2G39410"
"AT4G08910",0,0.561461518338036,0.368,0.032,0,"AT4G08910"
"AT2G32990",1.5422597320636e-229,0.405038649500667,0.19,0.032,2.43677037666049e-225,"AT2G32990"
"AT4G36380",0,0.32476246629312,0.25,0.034,0,"AT4G36380"
"AT5G64770",0,0.817950402479826,0.403,0.035,0,"AT5G64770"
"AT2G28630",0,0.267077048632038,0.235,0.036,0,"AT2G28630"
"AT4G38770",5.2098550534134e-283,0.458796926122791,0.227,0.036,8.23157098439317e-279,"AT4G38770"
"AT1G62975",0,0.316537280867407,0.275,0.037,0,"AT1G62975"
