"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G24145",2.05768639432281e-193,0.2669047931733,0.116,0.016,3.25114450303004e-189,"AT1G24145"
"AT5G24110",9.30084018081325e-283,0.599537927652843,0.165,0.023,1.46953274856849e-278,"AT5G24110"
"AT2G39518",7.42870690164472e-66,0.390617666683602,0.105,0.03,1.17373569045987e-61,"AT2G39518"
"AT5G48657",4.07564473036306e-143,0.371184383000354,0.148,0.032,6.43951867397364e-139,"AT5G48657"
"AT3G01290",3.40879005819504e-159,0.306996815832964,0.155,0.033,5.38588829194816e-155,"AT3G01290"
"AT5G61160",2.03727799711279e-73,0.353123326303799,0.118,0.035,3.21889923543821e-69,"AT5G61160"
"AT4G28460",4.80435033826419e-55,0.31296238378986,0.115,0.039,7.59087353445742e-51,"AT4G28460"
"AT1G52200",5.41090890192355e-59,0.446370602811762,0.122,0.041,8.54923606503921e-55,"AT1G52200"
"AT1G20310",1.73311513829327e-96,0.260339944815394,0.155,0.046,2.73832191850337e-92,"AT1G20310"
"AT5G44578",2.75165982479253e-92,0.447459816236436,0.152,0.046,4.34762252317219e-88,"AT5G44578"
"AT4G11890",1.69765504356346e-85,0.42837371559338,0.153,0.048,2.68229496883026e-81,"AT4G11890"
"AT1G72060",1.90713691407165e-171,0.49571139673789,0.206,0.051,3.0132763242332e-167,"AT1G72060"
"AT1G61810",1.0919739946196e-97,0.464000573459038,0.165,0.051,1.72531891149897e-93,"AT1G61810"
"AT2G43620",1.04471716276044e-135,0.823992513136551,0.19,0.052,1.6506531171615e-131,"AT2G43620"
"AT5G36925",1.41313821852145e-80,0.300610786829787,0.158,0.052,2.23275838526389e-76,"AT5G36925"
"AT4G30280",1.59071556348458e-52,0.29629152154241,0.142,0.055,2.51333059030563e-48,"AT4G30280"
"AT2G44578",2.03573067696579e-15,0.2610491473285,0.102,0.058,3.21645446960595e-11,"AT2G44578"
"AT1G35140",3.00591255940518e-63,0.25257922196857,0.162,0.062,4.74934184386019e-59,"AT1G35140"
"AT3G04300",1.13296756943643e-32,0.268495421044024,0.137,0.064,1.79008875970956e-28,"AT3G04300"
"AT4G38540",2.86524161040051e-91,0.282976121411171,0.189,0.066,4.5270817444328e-87,"AT4G38540"
"AT2G17040",0,0.909690645560418,0.339,0.067,0,"AT2G17040"
"AT4G11320",8.24130916573305e-25,0.769810511553778,0.135,0.071,1.30212684818582e-20,"AT4G11320"
"AT5G25440",8.11513915212564e-135,0.429625726369294,0.232,0.072,1.28219198603585e-130,"AT5G25440"
"AT5G44572",3.53513116932114e-108,0.486565656377792,0.213,0.072,5.5855072475274e-104,"AT5G44572"
"AT5G39670",4.73039585540373e-108,0.48014917127685,0.214,0.072,7.4740254515379e-104,"AT5G39670"
"AT5G52050",1.11387369179526e-98,0.444763508932342,0.208,0.072,1.75992043303651e-94,"AT5G52050"
"AT3G14060",3.54604801221996e-60,0.252425254490626,0.178,0.072,5.60275585930753e-56,"AT3G14060"
"AT3G45730",2.76137755743124e-59,0.354873228088109,0.177,0.072,4.36297654074136e-55,"AT3G45730"
"AT5G50200",1.60964181052436e-66,0.50992516217599,0.196,0.079,2.54323406062849e-62,"AT5G50200"
"AT1G15125",6.21061593617212e-78,0.377487140137136,0.204,0.082,9.81277317915195e-74,"AT1G15125"
"AT1G17147",6.71864984896667e-85,0.307885814840746,0.22,0.086,1.06154667613673e-80,"AT1G17147"
"AT3G49120",6.67997175648595e-13,0.276324165466533,0.134,0.086,1.05543553752478e-08,"AT3G49120"
"AT5G08240",1.21226830403095e-120,0.345017336722574,0.256,0.091,1.9153839203689e-116,"AT5G08240"
"AT2G25735",4.50748385237489e-79,0.683583868318189,0.224,0.092,7.12182448675233e-75,"AT2G25735"
"AT2G21780",1.12583490274809e-15,0.304229414778413,0.144,0.092,1.77881914634198e-11,"AT2G21780"
"AT1G65486",3.5422558818763e-241,0.634410790416813,0.337,0.097,5.59676429336455e-237,"AT1G65486"
"AT2G32020",8.55711041815948e-97,0.648617701165665,0.244,0.097,1.3520234460692e-92,"AT2G32020"
"AT1G62300",2.20371275715819e-64,0.540318468985062,0.221,0.097,3.48186615630995e-60,"AT1G62300"
"AT4G32870",5.6324333233304e-45,0.285629940825322,0.198,0.098,8.89924465086203e-41,"AT4G32870"
"AT4G33467",1.81175996717486e-22,0.34979315239797,0.169,0.099,2.86258074813627e-18,"AT4G33467"
"AT4G23810",0,0.803021054999854,0.471,0.144,0,"AT4G23810"
"AT2G32150",7.04830075385619e-197,1.00589364565757,0.794,0.469,1.11363151910928e-192,"AT2G32150"
"AT1G33590",1.74107655196372e-236,0.967017917240078,0.829,0.503,2.75090095210267e-232,"AT1G33590"
