"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT3G12730",0,0.366189068847118,0.158,0,0,"AT3G12730"
"AT2G38920",0,0.525366115385379,0.11,0,0,"AT2G38920"
"AT5G42146",0,0.444723559812344,0.212,0,0,"AT5G42146"
"AT3G28007",0,0.562975060094873,0.158,0,0,"AT3G28007"
"AT3G25570",0,0.525722755433511,0.151,0,0,"AT3G25570"
"AT5G06850",0,0.791647516465871,0.39,0.001,0,"AT5G06850"
"AT5G18240",0,1.37233928515293,0.363,0.001,0,"AT5G18240"
"AT5G27690",0,1.68662740091837,0.647,0.001,0,"AT5G27690"
"AT2G15310",0,1.39462832179917,0.329,0.001,0,"AT2G15310"
"AT2G16050",0,0.375187291442092,0.192,0.001,0,"AT2G16050"
"AT4G00880",0,0.727572422864318,0.154,0.001,0,"AT4G00880"
"AT3G01960",0,0.48967329443392,0.154,0.001,0,"AT3G01960"
"AT1G51340",0,0.620232833638914,0.247,0.001,0,"AT1G51340"
"AT1G54575",0,1.64134544918537,0.134,0.001,0,"AT1G54575"
"AT2G32880",0,0.988837227362819,0.13,0.001,0,"AT2G32880"
"AT4G16008",0,0.837045148080892,0.271,0.001,0,"AT4G16008"
"AT1G11570",0,0.4244632197448,0.113,0.001,0,"AT1G11570"
"AT4G15690",0,1.20123754004923,0.113,0.001,0,"AT4G15690"
"AT1G69970",0,0.948576790344459,0.37,0.002,0,"AT1G69970"
"AT5G04980",0,0.486351964154508,0.247,0.002,0,"AT5G04980"
"AT5G17450",0,1.53753753849899,0.514,0.002,0,"AT5G17450"
"AT5G43380",0,2.2093113382199,0.64,0.002,0,"AT5G43380"
"AT3G58720",0,0.66688201288317,0.353,0.002,0,"AT3G58720"
"AT2G03500",0,0.850946186127211,0.428,0.002,0,"AT2G03500"
"AT2G16740",0,1.20154311446965,0.247,0.002,0,"AT2G16740"
"AT2G46630",0,2.00544171212179,0.336,0.002,0,"AT2G46630"
"AT3G20865",0,0.342540436928435,0.205,0.002,0,"AT3G20865"
"AT5G64240",0,3.18603749649784,0.682,0.003,0,"AT5G64240"
"AT2G02020",0,0.307031282718394,0.154,0.003,0,"AT2G02020"
"AT2G36650",0,1.24235959580379,0.185,0.003,0,"AT2G36650"
"AT4G29230",0,0.362854693044102,0.188,0.003,0,"AT4G29230"
"AT1G10380",0,1.00646327777998,0.479,0.004,0,"AT1G10380"
"AT5G05790",0,0.459898466734072,0.219,0.004,0,"AT5G05790"
"AT5G40980",0,0.784882528579261,0.305,0.004,0,"AT5G40980"
"AT5G57350",0,2.62249114541884,0.726,0.004,0,"AT5G57350"
"AT5G63710",0,0.357556837581982,0.192,0.004,0,"AT5G63710"
"AT3G21600",0,2.24768565544725,0.705,0.004,0,"AT3G21600"
"AT2G30540",0,2.35147873755455,0.305,0.004,0,"AT2G30540"
"AT4G19840",0,2.36589723862673,0.363,0.004,0,"AT4G19840"
"AT1G33340",3.83148735613341e-211,0.269486675630416,0.12,0.004,6.05375002269079e-207,"AT1G33340"
"AT1G03170",1.38797448155741e-181,0.386125554952565,0.116,0.004,2.1929996808607e-177,"AT1G03170"
"AT1G10155",0,0.826634555466149,0.202,0.005,0,"AT1G10155"
"AT5G49660",0,0.275728084375919,0.209,0.005,0,"AT5G49660"
"AT5G54660",0,2.00964057261302,0.716,0.005,0,"AT5G54660"
"AT3G03341",2.2531317556305e-190,0.563250791757266,0.134,0.005,3.55994817389619e-186,"AT3G03341"
"AT1G06830",0,1.15383698614713,0.24,0.006,0,"AT1G06830"
"AT3G44220",0,1.79539403244606,0.534,0.006,0,"AT3G44220"
"AT3G63050",0,0.64651065256982,0.205,0.006,0,"AT3G63050"
"AT2G37900",0,0.464018481336668,0.216,0.006,0,"AT2G37900"
"AT2G39830",0,0.899638534344148,0.37,0.006,0,"AT2G39830"
"AT1G79430",0,2.90189590508536,0.822,0.007,0,"AT1G79430"
"AT5G04080",0,2.80857305400784,0.466,0.007,0,"AT5G04080"
"AT3G21510",1.79962731855094e-135,0.713071272387533,0.13,0.007,2.84341116331049e-131,"AT3G21510"
"AT5G56540",6.39019961436083e-92,0.380709617831131,0.106,0.007,1.00965153906901e-87,"AT5G56540"
"AT1G23040",0,1.28146953276341,0.572,0.008,0,"AT1G23040"
"AT5G40960",0,0.413646331644949,0.257,0.008,0,"AT5G40960"
"AT5G62940",0,1.637547137676,0.548,0.008,0,"AT5G62940"
"AT3G14940",0,0.535734534002656,0.267,0.008,0,"AT3G14940"
"AT4G22160",0,0.95452629541719,0.531,0.008,0,"AT4G22160"
"AT1G33080",0,1.30617918967095,0.592,0.009,0,"AT1G33080"
"AT3G61380",1.24469190387586e-131,0.294720165663424,0.151,0.009,1.96661320812386e-127,"AT3G61380"
"AT4G34560",0,1.06903822566548,0.308,0.01,0,"AT4G34560"
"AT5G50720",3.79940681146409e-224,1.17385246418769,0.205,0.01,6.00306276211326e-220,"AT5G50720"
"AT1G47960",1.47267009874193e-156,0.292607793426481,0.175,0.01,2.32681875601225e-152,"AT1G47960"
"AT1G72800",1.26140854199407e-132,0.453262137918336,0.154,0.01,1.99302549635062e-128,"AT1G72800"
"AT2G34140",5.81293495590351e-101,0.301956357675371,0.14,0.01,9.18443723032754e-97,"AT2G34140"
"AT4G22758",2.09302912715283e-137,0.284943587274168,0.168,0.011,3.30698602090148e-133,"AT4G22758"
"AT5G63850",0,1.76627473040199,0.284,0.012,0,"AT5G63850"
"AT3G60490",0,0.90926531889643,0.295,0.012,0,"AT3G60490"
"AT5G02260",4.38143047738663e-282,0.445487389272027,0.25,0.012,6.92266015427088e-278,"AT5G02260"
"AT4G20970",7.55951867457838e-126,0.339057720695659,0.171,0.012,1.19440395058338e-121,"AT4G20970"
"AT1G68430",2.81119954853877e-108,0.285500580231674,0.158,0.012,4.44169528669125e-104,"AT1G68430"
"AT2G15680",0,1.16754031052916,0.418,0.013,0,"AT2G15680"
"AT2G01660",4.58559168736255e-296,0.328607156732423,0.267,0.013,7.24523486603282e-292,"AT2G01660"
"AT1G77885",4.59898308437616e-245,0.785308400388374,0.247,0.013,7.26639327331433e-241,"AT1G77885"
"AT5G39850",1.43708392036578e-138,0.339791360828219,0.182,0.013,2.27059259417794e-134,"AT5G39850"
"AT5G35670",0,0.641926810659865,0.349,0.014,0,"AT5G35670"
"AT3G10870",0,1.5040872386667,0.545,0.014,0,"AT3G10870"
"AT5G18600",0,4.59782262976112,0.418,0.014,0,"AT5G18600"
"AT1G73630",2.4189422437841e-90,0.546855324612694,0.154,0.014,3.82192874517888e-86,"AT1G73630"
"AT4G24120",1.4996677906179e-41,0.292335779910597,0.106,0.014,2.36947510917629e-37,"AT4G24120"
"AT1G22710",0,1.6230069828647,0.476,0.016,0,"AT1G22710"
"AT1G27660",5.10428620318371e-148,0.33631943669467,0.216,0.016,8.06477220103026e-144,"AT1G27660"
"AT1G07640",0,1.15580867867633,0.575,0.017,0,"AT1G07640"
"AT3G43270",0,1.29811712221868,0.613,0.017,0,"AT3G43270"
"AT5G23360",3.04182244921709e-98,0.842835159178926,0.178,0.017,4.806079469763e-94,"AT5G23360"
"AT1G77920",4.16127122171356e-70,0.276836216166198,0.154,0.017,6.57480853030743e-66,"AT1G77920"
"AT2G04795",1.69101440148685e-62,0.30991791477732,0.147,0.017,2.67180275434922e-58,"AT2G04795"
"AT1G09460",6.17038082258648e-51,0.268689206736904,0.134,0.017,9.74920169968664e-47,"AT1G09460"
"AT1G75390",4.2612031049954e-32,0.365685675038331,0.106,0.017,6.73270090589273e-28,"AT1G75390"
"AT2G19580",0,0.546890163004481,0.363,0.019,0,"AT2G19580"
"AT1G70505",7.76807855464399e-253,0.692316857170223,0.295,0.019,1.22735641163375e-248,"AT1G70505"
"AT3G26760",1.78760162993871e-55,0.290926458771323,0.147,0.019,2.82441057530316e-51,"AT3G26760"
"AT3G03270",0,3.61483051689021,0.829,0.02,0,"AT3G03270"
