"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G11220",0,1.08717262154478,0.478,0.041,0,1.01172245678473e-234,0.357342398977617,0.344,0.091,1.59852148171987e-230,1.01172245678473e-234,0,"AT1G11220"
"AT1G11850",0,0.755747575884729,0.502,0.057,0,8.1171842329403e-178,0.376075622817522,0.126,0.017,1.28251510880457e-173,8.1171842329403e-178,0,"AT1G11850"
"AT1G16630",0,1.20618659517341,0.439,0.03,0,0,0.812605225837941,0.454,0.09,0,0,0,"AT1G16630"
"AT1G21810",0,0.79450312264511,0.363,0.028,0,0,0.529895708146069,0.405,0.036,0,0,0,"AT1G21810"
"AT1G23790",0,1.10879200578798,0.541,0.039,0,0,0.635168866328979,0.436,0.089,0,0,0,"AT1G23790"
"AT1G34245",0,2.24360646646051,0.437,0.014,0,0,2.24812774062379,0.456,0.038,0,0,0,"AT1G34245"
"AT1G34355",0,0.447965139344692,0.288,0.022,0,2.81655089418844e-280,0.390672305891127,0.381,0.097,4.45015041281773e-276,2.81655089418844e-280,0,"AT1G34355"
"AT1G56150",0,1.25626669716058,0.462,0.059,0,1.70637816792881e-133,0.427829028422881,0.202,0.052,2.69607750532752e-129,1.70637816792881e-133,0,"AT1G56150"
"AT1G63100",0,1.75223246513666,0.478,0.041,0,0,0.622843916746753,0.387,0.082,0,0,0,"AT1G63100"
"AT1G69160",0,1.1338675908159,0.594,0.066,0,0,0.55539380801355,0.465,0.09,0,0,0,"AT1G69160"
"AT1G78170",0,1.16542023565556,0.54,0.055,0,0,0.35774284320228,0.349,0.069,0,0,0,"AT1G78170"
"AT1G80080",0,2.81456222802572,0.716,0.056,0,0,3.04054489111811,0.718,0.06,0,0,0,"AT1G80080"
"AT5G01075",0,1.03407055256018,0.588,0.061,0,0,0.734497417339314,0.477,0.04,0,0,0,"AT5G01075"
"AT5G10890",0,1.16739641147856,0.554,0.023,0,0,1.07287702098472,0.548,0.04,0,0,0,"AT5G10890"
"AT5G47050",0,0.787765221801488,0.451,0.054,0,0,0.435858819436931,0.365,0.051,0,0,0,"AT5G47050"
"AT5G53210",0,1.98916360545603,0.728,0.039,0,0,1.40240814054677,0.712,0.053,0,0,0,"AT5G53210"
"AT5G56120",0,1.71791321433032,0.41,0.026,0,0,1.08520438082788,0.343,0.07,0,0,0,"AT5G56120"
"AT5G60880",0,1.80356460977446,0.617,0.012,0,0,2.60744655187009,0.846,0.048,0,0,0,"AT5G60880"
"AT5G66230",0,2.31328883378846,0.491,0.043,0,0,1.87009618666839,0.416,0.098,0,0,0,"AT5G66230"
"AT3G11520",0,0.649273075921474,0.349,0.031,0,0,0.703546914291126,0.418,0.091,0,0,0,"AT3G11520"
"AT3G12870",0,2.02369531800071,0.441,0.028,0,0,1.84250073384192,0.437,0.093,0,0,0,"AT3G12870"
"AT3G22880",0,2.07612113359034,0.669,0.078,0,5.82179375516841e-111,0.29667370969553,0.252,0.088,9.19843413316609e-107,5.82179375516841e-111,0,"AT3G22880"
"AT3G51280",0,2.14941608981463,0.545,0.048,0,0,1.12977250837836,0.385,0.085,0,0,0,"AT3G51280"
"AT3G51740",0,1.12586608332726,0.385,0.037,0,3.07954544139834e-302,0.995755484443289,0.39,0.096,4.86568179740938e-298,3.07954544139834e-302,0,"AT3G51740"
"AT3G51930",0,0.670270914059808,0.331,0.025,0,5.61896596575639e-300,0.323146721381002,0.288,0.053,8.8779662258951e-296,5.61896596575639e-300,0,"AT3G51930"
"AT3G52540",0,0.372215503000842,0.219,0.009,0,0,0.324096247033522,0.349,0.065,0,0,0,"AT3G52540"
"AT3G55660",0,1.42555967426349,0.518,0.051,0,4.1578645695527e-239,0.436998970604665,0.334,0.087,6.56942601989327e-235,4.1578645695527e-239,0,"AT3G55660"
"AT3G56100",0,0.630455249328204,0.309,0.017,0,0,0.795229518814565,0.479,0.079,0,0,0,"AT3G56100"
"AT3G62070",0,2.00408719024121,0.583,0.039,0,0,1.95404640460348,0.59,0.056,0,0,0,"AT3G62070"
"AT2G01505",0,0.778649116642981,0.513,0.041,0,0,0.629645348233059,0.546,0.088,0,0,0,"AT2G01505"
"AT2G02450",0,0.906758689192628,0.478,0.038,0,0,1.03158301538125,0.499,0.061,0,0,0,"AT2G02450"
"AT2G16270",0,1.42895355516173,0.498,0.027,0,0,0.874285240353147,0.478,0.096,0,0,0,"AT2G16270"
"AT2G20590",0,0.693956807120743,0.401,0.039,0,0,0.518341269090787,0.403,0.087,0,0,0,"AT2G20590"
"AT2G34190",0,1.03205325151815,0.329,0.03,0,2.40857942334333e-288,0.757964328169457,0.314,0.066,3.80555548888246e-284,2.40857942334333e-288,0,"AT2G34190"
"AT3G22760",1.89156686492171e-253,0.92034563013537,0.514,0.094,2.9886756465763e-249,0,0.893409603111674,0.445,0.073,0,1.89156686492171e-253,0,"AT3G22760"
"AT3G60220",3.67705759453795e-224,0.33216553236049,0.282,0.03,5.80975099936997e-220,0,0.367034291983805,0.404,0.072,0,3.67705759453795e-224,0,"AT3G60220"
"AT3G14760",7.38573590352974e-211,1.22163430134219,0.414,0.073,1.1669462727577e-206,0,0.985317120696225,0.274,0.014,0,7.38573590352974e-211,0,"AT3G14760"
"AT1G05065",7.41655544497606e-189,0.338427766452121,0.268,0.032,1.17181576030622e-184,0,0.544498623885846,0.436,0.06,0,7.41655544497606e-189,0,"AT1G05065"
"AT2G40670",4.09659975609291e-179,0.574406923611237,0.266,0.034,6.4726276146268e-175,0,0.963346072184343,0.312,0.01,0,4.09659975609291e-179,0,"AT2G40670"
"AT4G19380",4.61005328860686e-139,0.32948064741281,0.248,0.036,7.28388419599885e-135,0,0.617552563331825,0.407,0.05,0,4.61005328860686e-139,0,"AT4G19380"
"AT5G41070",1.41598569043763e-130,0.257223692946534,0.221,0.031,2.23725739089145e-126,0,0.370206888217662,0.328,0.051,0,1.41598569043763e-130,0,"AT5G41070"
"AT5G13400",2.83137416728891e-109,0.329064716694472,0.268,0.051,4.47357118431647e-105,0,0.320924541295626,0.393,0.089,0,2.83137416728891e-109,0,"AT5G13400"
"AT1G16500",3.87096173126338e-82,0.303117301254166,0.239,0.053,6.11611953539614e-78,0,0.686140633203323,0.409,0.056,0,3.87096173126338e-82,0,"AT1G16500"
"AT2G04570",1.99960993322131e-40,0.256594455365055,0.155,0.04,3.15938369448968e-36,0,0.588826363713649,0.412,0.091,0,1.99960993322131e-40,0,"AT2G04570"
"AT4G23020",2.69335299548459e-265,0.800757864377122,0.383,0.049,4.25549773286565e-261,7.17503188567471e-302,0.344950008491959,0.256,0.041,1.1336550379366e-297,2.69335299548459e-265,1.43500637713493e-301,"AT4G23020"
"AT1G65620",2.78759100153682e-293,0.811534478918903,0.34,0.034,4.40439378242818e-289,1.7112511648634e-295,0.485531561706334,0.282,0.052,2.70377684048418e-291,2.78759100153682e-293,3.42250232972647e-295,"AT1G65620"
"AT5G42720",1.05939596339579e-294,1.13355643276644,0.538,0.089,1.67384562216535e-290,1.58183916939458e-236,0.355930733385764,0.27,0.058,2.49930588764343e-232,1.58183916939458e-236,2.11879192679137e-294,"AT5G42720"
"AT3G55130",1.5483821327341e-277,0.45164773151088,0.308,0.029,2.44644376971988e-273,1.20980964875007e-290,0.322651172773669,0.369,0.083,1.91149924502512e-286,1.5483821327341e-277,2.4196192974999e-290,"AT3G55130"
"AT5G38300",2.29123810193058e-272,0.770643388335247,0.293,0.028,3.62015620105032e-268,2.64765400254339e-137,0.324943919761865,0.293,0.098,4.18329332401856e-133,2.64765400254339e-137,4.58247620386109e-272,"AT5G38300"
"AT1G14350",1.80655011727291e-271,0.435453119516732,0.272,0.024,2.85434918529119e-267,1.69435055781662e-154,0.269759963844145,0.3,0.094,2.67707388135026e-150,1.69435055781662e-154,3.61310023454555e-271,"AT1G14350"
"AT4G15140",9.94036128310854e-139,0.387232694137146,0.252,0.038,1.57057708273115e-134,1.90164715381318e-247,0.599718208708047,0.302,0.067,3.00460250302482e-243,9.94036128310854e-139,3.80329430762613e-247,"AT4G15140"
"AT1G06660",1.66013583583108e-243,0.412008617012058,0.299,0.032,2.62301462061311e-239,8.85969781403083e-206,0.305563565426319,0.341,0.098,1.39983225461687e-201,8.85969781403083e-206,3.32027167166183e-243,"AT1G06660"
"AT5G62230",8.64015585686928e-233,0.297830882246214,0.182,0.012,1.36514462538535e-228,8.8555831837773e-149,0.281780894241725,0.296,0.093,1.39918214303681e-144,8.8555831837773e-149,1.72803117137381e-232,"AT5G62230"
"AT3G08770",1.28385651606387e-200,1.85431240550418,0.466,0.089,2.02849329538091e-196,4.0004202722531e-221,0.312134636593889,0.299,0.069,6.3206640301599e-217,1.28385651606387e-200,8.00084054450605e-221,"AT3G08770"
"AT1G56210",5.36520405448501e-117,0.46638138305435,0.333,0.074,8.47702240608631e-113,9.51710218833335e-212,0.290092737594008,0.307,0.076,1.50370214575667e-207,5.36520405448501e-117,1.90342043766664e-211,"AT1G56210"
"AT1G32690",4.14454769166029e-160,0.614143568227846,0.344,0.062,6.54838535282326e-156,1.74438107989159e-131,0.287612422791258,0.195,0.05,2.75612210622872e-127,1.74438107989159e-131,8.28909538332077e-160,"AT1G32690"
"AT1G01630",0,0.999307086710095,0.642,0.102,0,1.10200537213078e-282,0.547894584013697,0.657,0.26,1.74116848796663e-278,1.10200537213078e-282,0,"AT1G01630"
"AT1G02690",0,1.8909902713472,0.653,0.117,0,0,0.95194118660401,0.59,0.195,0,0,0,"AT1G02690"
"AT1G02730",0,1.58049409581521,0.543,0.046,0,0,1.07203141103901,0.592,0.151,0,0,0,"AT1G02730"
