"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G01610",0,1.11063821062575,0.612,0.032,0,0,0.844612609535219,0.629,0.095,0,0,0,"AT1G01610"
"AT1G02205",0,1.4034152710034,0.466,0.011,0,0,0.885869920758441,0.454,0.049,0,0,0,"AT1G02205"
"AT1G06080",0,0.287514496009914,0.111,0.002,0,0,1.02540898146244,0.567,0.064,0,0,0,"AT1G06080"
"AT1G09310",0,3.73901685902909,0.85,0.086,0,1.80309699260139e-300,1.32002113896395,0.193,0.042,2.84889324831019e-296,1.80309699260139e-300,0,"AT1G09310"
"AT1G16750",0,0.350350780649894,0.249,0.011,0,0,0.459124361051445,0.374,0.052,0,0,0,"AT1G16750"
"AT1G17920",0,0.331472828252953,0.23,0.012,0,0,0.882798383831046,0.609,0.088,0,0,0,"AT1G17920"
"AT1G22250",0,0.851253651258845,0.319,0.01,0,0,0.3851951290008,0.197,0.021,0,0,0,"AT1G22250"
"AT1G22330",0,0.434775282065841,0.319,0.046,0,0,0.469134510591206,0.385,0.087,0,0,0,"AT1G22330"
"AT1G23480",0,0.583739896025335,0.346,0.013,0,0,0.689997607971541,0.488,0.067,0,0,0,"AT1G23480"
"AT1G25425",0,0.456632153009752,0.284,0.014,0,0,0.455476574519642,0.278,0.039,0,0,0,"AT1G25425"
"AT1G26945",0,0.926437935743382,0.39,0.041,0,2.74397138967598e-220,0.375278814248163,0.234,0.077,4.33547479568805e-216,2.74397138967598e-220,0,"AT1G26945"
"AT1G34640",0,0.733334837557133,0.454,0.028,0,0,0.878246055276362,0.594,0.079,0,0,0,"AT1G34640"
"AT1G35180",0,0.515370829588105,0.32,0.01,0,0,0.739032090660604,0.532,0.06,0,0,0,"AT1G35180"
"AT1G51500",0,1.2069265678182,0.631,0.029,0,0,0.975577383865916,0.647,0.086,0,0,0,"AT1G51500"
"AT1G55260",0,3.1500382518762,0.83,0.045,0,0,1.34154426652351,0.554,0.07,0,0,0,"AT1G55260"
"AT1G63220",0,0.373767771343281,0.234,0.025,0,0,0.397558621821664,0.256,0.067,0,0,0,"AT1G63220"
