"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G04110",0,1.39492786974923,0.169,0.002,0,2.18042713958297e-307,3.3425297420648,0.447,0.017,3.4450748805411e-303,2.18042713958297e-307,0,"AT1G04110"
"AT1G08810",0,1.78542297833449,0.618,0.005,0,0,1.52411085756031,0.539,0.003,0,0,0,"AT1G08810"
"AT1G11850",0,4.55463493813741,0.648,0.057,0,0,5.17606336523608,0.915,0.018,0,0,0,"AT1G11850"
"AT1G16960",0,1.05327352737715,0.588,0.018,0,0,2.1403412947014,0.645,0.005,0,0,0,"AT1G16960"
"AT1G26600",0,1.17360928620061,0.529,0.008,0,0,1.56643452350827,0.73,0.011,0,0,0,"AT1G26600"
"AT1G32780",0,0.383154426760904,0.206,0.008,0,0,0.358288204565518,0.22,0.003,0,0,0,"AT1G32780"
"AT1G63180",0,2.26093215962616,0.757,0.044,0,2.85373005733112e-192,0.579148774111938,0.319,0.014,4.50889349058316e-188,2.85373005733112e-192,0,"AT1G63180"
"AT1G69320",0,0.635783898604235,0.307,0.004,0,0,1.06109025532884,0.603,0.003,0,0,0,"AT1G69320"
"AT1G71866",0,0.923258437152785,0.243,0.001,0,0,2.92614187422292,0.603,0.004,0,0,0,"AT1G71866"
"AT1G80080",0,1.52096106966013,0.604,0.061,0,1.35867740211024e-124,1.98991525814457,0.66,0.091,2.14671029533418e-120,1.35867740211024e-124,0,"AT1G80080"
"AT5G02260",0,0.794679894455436,0.288,0.007,0,0,0.920622885255322,0.461,0.013,0,0,0,"AT5G02260"
"AT5G47050",0,1.10418130725294,0.572,0.054,0,5.37441445211606e-111,0.680538560804575,0.525,0.065,8.49157483434338e-107,5.37441445211606e-111,0,"AT5G47050"
"AT5G52120",0,0.357363137287288,0.236,0.009,0,5.95348610836269e-193,0.306950745135464,0.234,0.007,9.40650805121305e-189,5.95348610836269e-193,0,"AT5G52120"
"AT5G54840",0,0.511529471703815,0.304,0.02,0,5.86368768986172e-21,0.334093831192857,0.27,0.073,9.26462654998152e-17,5.86368768986172e-21,0,"AT5G54840"
"AT5G65590",0,0.532676329726717,0.254,0.013,0,2.1093489979842e-13,0.438683541523647,0.156,0.039,3.33277141681503e-09,2.1093489979842e-13,0,"AT5G65590"
"AT5G66440",0,2.00224906356724,0.54,0.022,0,0,2.12440781562516,0.546,0.02,0,0,0,"AT5G66440"
"AT3G05937",0,0.613045248111362,0.311,0.012,0,1.2147040081077e-153,0.344778476879394,0.206,0.007,1.91923233281017e-149,1.2147040081077e-153,0,"AT3G05937"
"AT3G06120",0,2.28312028043702,0.217,0.003,0,0,3.96773096541421,0.454,0.002,0,0,0,"AT3G06120"
"AT3G06778",0,1.53492699497348,0.584,0.009,0,0,1.0679011818867,0.574,0.007,0,0,0,"AT3G06778"
"AT3G17640",0,1.05604310463763,0.304,0.018,0,3.47730019330601e-173,1.01344180163311,0.397,0.024,5.4941343054235e-169,3.47730019330601e-173,0,"AT3G17640"
"AT3G20860",0,1.49069870639115,0.469,0.016,0,1.21343984187267e-210,2.11595933526218,0.787,0.085,1.91723495015882e-206,1.21343984187267e-210,0,"AT3G20860"
"AT3G24140",0,2.5924664797436,0.636,0.016,0,0,1.99200292104949,0.553,0.006,0,0,0,"AT3G24140"
"AT3G24670",0,1.46901832173404,0.677,0.071,0,5.47452618333543e-142,1.02144839895141,0.638,0.08,8.64975136966999e-138,5.47452618333543e-142,0,"AT3G24670"
"AT3G55500",0,0.963571769473723,0.172,0.001,0,0,2.98655514232129,0.475,0.003,0,0,0,"AT3G55500"
"AT3G56170",0,0.781472143402441,0.465,0.037,0,0,0.482657171339895,0.277,0.004,0,0,0,"AT3G56170"
"AT3G62820",0,0.843902588867248,0.405,0.003,0,0,1.95888075189007,0.603,0.002,0,0,0,"AT3G62820"
"AT2G02540",0,0.649702613454505,0.332,0.025,0,3.87357490016223e-83,0.845379909925825,0.553,0.095,6.12024834225633e-79,3.87357490016223e-83,0,"AT2G02540"
"AT2G20875",0,2.54218049248685,0.549,0.004,0,0,2.97466644016349,0.752,0.003,0,0,0,"AT2G20875"
"AT2G21880",0,0.446334102291232,0.144,0.002,0,0.00162324569410303,0.346381248569587,0.121,0.061,1,0.00162324569410303,0,"AT2G21880"
"AT2G22800",0,0.461337122035447,0.249,0.007,0,2.89139489548205e-85,0.459838094530108,0.333,0.034,4.56840393486163e-81,2.89139489548205e-85,0,"AT2G22800"
"AT2G28410",0,0.992919574724982,0.373,0.014,0,0,2.67593151244175,0.752,0.033,0,0,0,"AT2G28410"
"AT2G29995",0,1.15987934519073,0.563,0.033,0,1.81055779898251e-127,1.29906673497691,0.326,0.022,2.86068132239237e-123,1.81055779898251e-127,0,"AT2G29995"
"AT2G31940",0,0.957095067299277,0.325,0.019,0,2.14375317935897e-30,0.373497033125694,0.163,0.022,3.38713002338717e-26,2.14375317935897e-30,0,"AT2G31940"
"AT2G41190",0,0.451013198278814,0.192,0.004,0,5.93541658188277e-28,0.265717864704701,0.262,0.054,9.37795819937477e-24,5.93541658188277e-28,0,"AT2G41190"
"AT2G45890",0,1.13132582964058,0.318,0.007,0,0,1.09403154328027,0.532,0.009,0,0,0,"AT2G45890"
"AT2G46070",0,1.04980460935275,0.51,0.024,0,0,2.64356820418691,0.872,0.039,0,0,0,"AT2G46070"
"AT2G47485",0,1.98131975611896,0.648,0.043,0,1.36142800004464e-132,1.26530128081891,0.638,0.081,2.15105624007053e-128,1.36142800004464e-132,0,"AT2G47485"
"AT4G02100",0,0.640014475952132,0.384,0.025,0,3.099013603087e-96,0.400679118076102,0.298,0.024,4.89644149287745e-92,3.099013603087e-96,0,"AT4G02100"
"AT4G02940",0,1.52784229578254,0.449,0.026,0,1.98802741976048e-76,0.809731240345158,0.255,0.022,3.14108332322155e-72,1.98802741976048e-76,0,"AT4G02940"
"AT4G08910",0,0.357010829675893,0.158,0.002,0,6.71820956652307e-29,0.450633332998628,0.319,0.074,1.06147711151065e-24,6.71820956652307e-29,0,"AT4G08910"
"AT4G14440",0,1.62400383255013,0.643,0.072,0,3.52119027149868e-67,0.344790254744125,0.135,0.007,5.56348062896791e-63,3.52119027149868e-67,0,"AT4G14440"
"AT4G17680",0,0.619319429331763,0.252,0.006,0,7.45777178047096e-185,1.25654845275661,0.695,0.07,1.17832794131441e-180,7.45777178047096e-185,0,"AT4G17680"
"AT4G27810",0,0.64946204945928,0.169,0,0,7.42653330689408e-131,1.19343621630606,0.312,0.02,1.17339226248926e-126,7.42653330689408e-131,0,"AT4G27810"
"AT4G38000",0,0.304875072791337,0.169,0.005,0,6.91265732757932e-305,0.432841673143148,0.149,0.002,1.09219985775753e-300,6.91265732757932e-305,0,"AT4G38000"
"AT4G38420",0,0.95009391392421,0.279,0.014,0,1.47481642633513e-52,1.16261022032849,0.177,0.016,2.33020995360951e-48,1.47481642633513e-52,0,"AT4G38420"
"AT1G12480",0,0.655971127698387,0.307,0.003,0,0,0.672226530759691,0.206,0.003,0,0,0,"AT1G12480"
"AT5G02110",0,0.47067427631496,0.16,0,0,0,1.06128786548303,0.291,0.001,0,0,0,"AT5G02110"
"AT2G21140",0,1.27181115410255,0.396,0.003,0,0,1.72076703009396,0.184,0.001,0,0,0,"AT2G21140"
"AT1G24400",0,0.811065257004153,0.423,0.003,0,0,0.904847075856563,0.227,0,0,0,0,"AT1G24400"
"AT1G33811",0,1.00637362144423,0.195,0.003,0,0,0.954838152711759,0.17,0,0,0,0,"AT1G33811"
"AT3G17070",0,1.02957460620169,0.263,0.001,0,0,0.540213208879861,0.135,0.001,0,0,0,"AT3G17070"
"AT2G22320",0,0.84832651716262,0.206,0.006,0,0,0.922585748316819,0.113,0.001,0,0,0,"AT2G22320"
"AT2G39690",0,1.59385671086457,0.318,0.003,0,0,0.499549033503429,0.156,0,0,0,0,"AT2G39690"
"AT3G14760",1.03989576121751e-213,1.25963647723603,0.46,0.074,1.64303530272366e-209,0,1.90360661408077,0.674,0.024,0,1.03989576121751e-213,0,"AT3G14760"
"AT1G71050",2.66837915345829e-200,1.62903202012252,0.295,0.031,4.21603906246409e-196,0,1.72472510438907,0.27,0.006,0,2.66837915345829e-200,0,"AT1G71050"
"AT3G26960",2.44969895922266e-192,1.36360633628339,0.259,0.025,3.8705243555718e-188,0,1.48063074357095,0.369,0.008,0,2.44969895922266e-192,0,"AT3G26960"
"AT2G37540",4.22700837001793e-158,0.473418150711682,0.268,0.032,6.67867322462834e-154,0,0.662796870558959,0.362,0.008,0,4.22700837001793e-158,0,"AT2G37540"
"AT5G47330",9.18073082249532e-34,0.353295708729916,0.231,0.075,1.45055546995426e-29,0,1.17728700365823,0.532,0.015,0,9.18073082249532e-34,0,"AT5G47330"
"AT3G57600",2.03072451222491e-257,0.926774389771089,0.217,0.013,3.20854472931536e-253,1.35921396436757e-269,1.22659020894207,0.291,0.008,2.14755806370075e-265,2.03072451222491e-257,2.71842792873508e-269,"AT3G57600"
"AT5G49330",4.54028483520934e-252,0.770520859650739,0.22,0.013,7.17365003963076e-248,1.41397513099039e-73,1.11990392860384,0.404,0.057,2.23408070696481e-69,1.41397513099039e-73,9.08056967041805e-252,"AT5G49330"
"AT1G10690",2.06840475099447e-228,0.997932518760429,0.478,0.072,3.26807950657126e-224,3.04676636411981e-194,0.665473870369952,0.376,0.019,4.8138908553093e-190,3.04676636411981e-194,4.13680950198887e-228,"AT1G10690"
"AT1G04920",3.39202465196033e-223,0.347003645347685,0.151,0.007,5.35939895009732e-219,3.22710662761598e-26,0.427802380159699,0.199,0.036,5.09882847163324e-22,3.22710662761598e-26,6.78404930392061e-223,"AT1G04920"
"AT5G04820",1.20151074779968e-221,0.434254702189732,0.243,0.019,1.8983869815235e-217,2.79972054675841e-216,1.12493641946872,0.624,0.051,4.42355846387829e-212,2.79972054675841e-216,2.40302149559943e-221,"AT5G04820"
"AT1G75730",1.9481480517181e-161,0.556500633700485,0.323,0.046,3.07807392171459e-157,4.6492023994068e-217,1.16330565521032,0.596,0.045,7.34573979106274e-213,1.9481480517181e-161,9.29840479881357e-217,"AT1G75730"
"AT3G14850",8.26897363013323e-192,0.712807265646688,0.311,0.037,1.30649783356105e-187,1.80344656072672e-19,0.473889690223928,0.213,0.05,2.84944556594822e-15,1.80344656072672e-19,1.65379472602669e-191,"AT3G14850"
"AT1G68530",3.39459346875468e-179,0.86775789176073,0.403,0.062,5.3634576806324e-175,6.13521621324003e-05,0.440062231134947,0.128,0.054,0.969364161691925,6.13521621324003e-05,6.7891869375094e-179,"AT1G68530"
"AT3G60220",4.99993743461167e-175,0.45698174610137,0.279,0.031,7.89990114668644e-171,1.97912906652219e-31,0.460350562998171,0.362,0.088,3.12702392510506e-27,1.97912906652219e-31,9.99987486922323e-175,"AT3G60220"
"AT4G13710",2.06050974144247e-167,0.676343901607937,0.334,0.047,3.2556053914791e-163,4.3526863149867e-120,1.03832786771631,0.66,0.099,6.87724437767899e-116,4.3526863149867e-120,4.121019482885e-167,"AT4G13710"
"AT3G23840",5.1661865610296e-167,0.925497377163927,0.268,0.031,8.16257476642677e-163,0.000104055513270417,0.439674089018498,0.135,0.06,1,0.000104055513270417,1.03323731220592e-166,"AT3G23840"
"AT3G20300",7.62504970169457e-165,0.807218439749008,0.316,0.043,1.20475785286774e-160,2.52796595295355e-101,0.819256276102677,0.376,0.037,3.99418620566661e-97,2.52796595295355e-101,1.52500994033892e-164,"AT3G20300"
"AT2G34340",1.20961575113885e-157,0.317415237083184,0.165,0.012,1.91119288679939e-153,3.56258727484396e-23,0.509322432854213,0.177,0.032,5.62888789425345e-19,3.56258727484396e-23,2.41923150227765e-157,"AT2G34340"
"AT2G02450",1.59208700077589e-130,0.430569828730302,0.288,0.043,2.5154974612259e-126,1.24681282432617e-145,1.32779120352111,0.667,0.081,1.96996426243535e-141,1.59208700077589e-130,2.49362564865236e-145,"AT2G02450"
"AT4G12430",2.17523663325871e-141,0.390152593631365,0.151,0.011,3.43687388054876e-137,3.01772675822476e-115,0.834205351705063,0.234,0.012,4.76800827799512e-111,3.01772675822476e-115,4.35047326651733e-141,"AT4G12430"
"AT4G14746",2.82823343184716e-127,0.577327893522881,0.254,0.035,4.46860882231851e-123,7.73034240363451e-21,0.446759466288933,0.184,0.036,1.22139409977425e-16,7.73034240363451e-21,5.65646686369439e-127,"AT4G14746"
"AT4G24510",1.45536903572554e-31,0.301036647508534,0.188,0.055,2.29948307644636e-27,7.42169270241737e-117,0.459407331065645,0.128,0.004,1.17262744698194e-112,1.45536903572554e-31,1.4843385404835e-116,"AT4G24510"
"AT5G33290",7.59858236221821e-116,0.453113768278095,0.217,0.029,1.20057601323048e-111,1.48532175471109e-87,0.5028524075054,0.369,0.04,2.34680837244352e-83,1.48532175471109e-87,1.51971647244368e-115,"AT5G33290"
"AT3G22760",3.1910375172714e-113,0.822336144176776,0.407,0.098,5.04183927728881e-109,1.13941708954283e-75,0.902393732876643,0.518,0.09,1.80027900147767e-71,1.13941708954283e-75,6.38207503454292e-113,"AT3G22760"
"AT5G50090",8.64390563042291e-112,0.359119816751575,0.158,0.016,1.36573708960682e-107,1.56589862153845e-23,0.413768177768669,0.227,0.048,2.47411982203075e-19,1.56589862153845e-23,1.7287811260846e-111,"AT5G50090"
"AT3G11600",7.96631772340053e-99,0.607274063701023,0.208,0.03,1.25867820029728e-94,3.41869980036152e-108,1.20585368616466,0.525,0.066,5.4015456845712e-104,7.96631772340053e-99,6.83739960072297e-108,"AT3G11600"
"AT5G66400",3.40259346853264e-89,1.37089031472425,0.142,0.016,5.37609768028156e-85,6.521045335192e-108,4.12204363530633,0.319,0.025,1.03032516296034e-103,3.40259346853264e-89,1.30420906703841e-107,"AT5G66400"
"AT5G16360",4.40075199694472e-106,0.426534522361019,0.211,0.028,6.95318815517266e-102,1.92236609142673e-17,0.418316436522454,0.142,0.027,3.03733842445423e-13,1.92236609142673e-17,8.80150399388945e-106,"AT5G16360"
"AT2G48030",1.02876276435454e-99,0.327696239029488,0.211,0.03,1.62544516768017e-95,5.35663421454275e-43,0.334142073841595,0.234,0.031,8.46348205897755e-39,5.35663421454275e-43,2.0575255287091e-99,"AT2G48030"
