"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G14780",0,0.74208459766462,0.425,0.058,0,6.64331800278692e-181,0.437795808029536,0.344,0.071,1.04964424444033e-176,6.64331800278692e-181,0,"AT1G14780"
"AT1G23800",0,0.58844539363374,0.219,0.014,0,0,0.941373887891445,0.335,0.013,0,0,0,"AT1G23800"
"AT1G29290",0,0.663275354891137,0.241,0.015,0,0,1.81953224840714,0.419,0.021,0,0,0,"AT1G29290"
"AT1G36940",0,0.376271604329992,0.178,0.01,0,2.89330675648751e-96,0.313936064366904,0.16,0.029,4.57142467525026e-92,2.89330675648751e-96,0,"AT1G36940"
"AT1G52200",0,0.788742029649041,0.254,0.026,0,0,2.31373109173629,0.611,0.038,0,0,0,"AT1G52200"
"AT1G64380",0,1.01912333362178,0.469,0.1,0,2.9370551303904e-279,0.730694244924198,0.358,0.054,4.64054710601684e-275,2.9370551303904e-279,0,"AT1G64380"
"AT1G65690",0,0.836794019089431,0.286,0.019,0,0,2.74800681098867,0.624,0.03,0,0,0,"AT1G65690"
"AT1G69570",0,1.55901073620055,0.519,0.042,0,6.07061569066247e-181,0.805390030063422,0.357,0.077,9.5915727912467e-177,6.07061569066247e-181,0,"AT1G69570"
"AT1G74010",0,1.01830947798159,0.439,0.027,0,0,1.51920560208868,0.371,0.018,0,0,0,"AT1G74010"
"AT5G01210",0,0.691092488335081,0.214,0.015,0,1.58765737966638e-84,0.395518204705248,0.179,0.039,2.50849865987289e-80,1.58765737966638e-84,0,"AT5G01210"
"AT5G06760",0,0.885588308942357,0.357,0.037,0,5.98358114219494e-275,0.76878137385014,0.339,0.048,9.45405820466801e-271,5.98358114219494e-275,0,"AT5G06760"
"AT5G22580",0,3.25384613969174,0.532,0.037,0,6.86875372148757e-206,2.81500982790406,0.411,0.094,1.08526308799504e-201,6.86875372148757e-206,0,"AT5G22580"
"AT5G41800",0,0.752467207431295,0.43,0.067,0,0,0.673820551565435,0.456,0.062,0,0,0,"AT5G41800"
"AT5G42900",0,0.502844827778994,0.276,0.022,0,0,0.563366607749786,0.309,0.018,0,0,0,"AT5G42900"
"AT5G46350",0,0.780374320680823,0.271,0.015,0,0,0.450729436821819,0.18,0.011,0,0,0,"AT5G46350"
"AT5G53830",0,0.778514577663763,0.285,0.03,0,0,1.04611696363935,0.463,0.022,0,0,0,"AT5G53830"
"AT3G04300",0,3.05134622430165,0.811,0.099,0,0,0.490540098649832,0.192,0.007,0,0,0,"AT3G04300"
"AT3G13650",0,2.87522261441783,0.407,0.023,0,7.30856350528306e-177,0.382291734198629,0.13,0.011,1.15475303383472e-172,7.30856350528306e-177,0,"AT3G13650"
"AT3G15500",0,1.11321924489599,0.531,0.1,0,2.89664199404967e-134,0.781866631997251,0.357,0.097,4.57669435059848e-130,2.89664199404967e-134,0,"AT3G15500"
"AT3G19660",0,2.03815724276939,0.728,0.067,0,0,0.368746386114264,0.177,0.009,0,0,0,"AT3G19660"
"AT3G21230",0,0.582108595531947,0.246,0.01,0,0,0.92686155382218,0.407,0.015,0,0,0,"AT3G21230"
"AT3G29034",0,0.403828253856333,0.231,0.021,0,0,1.53174164470346,0.638,0.085,0,0,0,"AT3G29034"
"AT3G47380",0,1.11106450088334,0.415,0.073,0,0,1.38925229018987,0.294,0.027,0,0,0,"AT3G47380"
"AT3G49790",0,0.714759607118259,0.461,0.095,0,0,1.29073955169099,0.684,0.079,0,0,0,"AT3G49790"
"AT3G50760",0,1.34734720779981,0.607,0.086,0,0,0.823185912399604,0.519,0.096,0,0,0,"AT3G50760"
"AT3G50900",0,1.30909991473852,0.553,0.08,0,0,0.557180400516966,0.269,0.024,0,0,0,"AT3G50900"
"AT3G54420",0,1.4195650695566,0.469,0.083,0,0,0.8780304458513,0.327,0.011,0,0,0,"AT3G54420"
"AT3G59220",0,1.44494920215519,0.45,0.04,0,1.07948480105385e-298,0.390424595720454,0.182,0.012,1.70558598566508e-294,1.07948480105385e-298,0,"AT3G59220"
"AT2G01610",0,1.80263073982327,0.656,0.087,0,0,1.91341925086117,0.465,0.031,0,0,0,"AT2G01610"
"AT2G02990",0,1.88525717862144,0.623,0.08,0,0,1.08430403964395,0.369,0.027,0,0,0,"AT2G02990"
"AT2G19800",0,1.52442722246251,0.454,0.051,0,0,0.697503322364419,0.299,0.027,0,0,0,"AT2G19800"
"AT4G15610",0,3.68721941076797,0.733,0.061,0,9.35765920602204e-207,1.11442550311283,0.178,0.017,1.47851015455148e-202,9.35765920602204e-207,0,"AT4G15610"
"AT4G21920",0,0.696370873254903,0.372,0.047,0,0,0.575699028760981,0.235,0.01,0,0,0,"AT4G21920"
"AT4G28350",0,0.376949092014755,0.202,0.013,0,0,0.601519592706496,0.436,0.057,0,0,0,"AT4G28350"
"AT1G02310",9.25576043594203e-304,0.743779045223833,0.18,0.014,1.46241014887884e-299,0,0.941672084680662,0.42,0.021,0,9.25576043594203e-304,0,"AT1G02310"
"AT2G45570",1.63948722854576e-278,0.377644119214168,0.227,0.025,2.5903898211023e-274,0,0.521015016235959,0.231,0.009,0,1.63948722854576e-278,0,"AT2G45570"
"AT1G55365",2.46545165199367e-268,0.391438866872882,0.253,0.033,3.89541361015e-264,0,0.779002081315351,0.496,0.062,0,2.46545165199367e-268,0,"AT1G55365"
"AT4G24275",2.20382039548228e-264,0.467834404187436,0.25,0.032,3.482036224862e-260,0,1.08637476285293,0.41,0.048,0,2.20382039548228e-264,0,"AT4G24275"
"AT5G01370",3.77248805503138e-244,0.437702743334034,0.282,0.043,5.96053112694958e-240,0,1.53687328083669,0.635,0.097,0,3.77248805503138e-244,0,"AT5G01370"
"AT5G55050",1.40238395486344e-225,0.337118190838451,0.187,0.021,2.21576664868424e-221,0,0.771927489504326,0.351,0.017,0,1.40238395486344e-225,0,"AT5G55050"
"AT3G02800",6.5211763815533e-189,0.630028646369085,0.327,0.073,1.03034586828542e-184,0,1.33834103714021,0.655,0.076,0,6.5211763815533e-189,0,"AT3G02800"
"AT4G15120",2.76437397227535e-175,0.29746267515666,0.178,0.024,4.36771087619506e-171,0,2.1416301831332,0.64,0.067,0,2.76437397227535e-175,0,"AT4G15120"
