"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT3G20470",1.34044012775519,0.2085,0.016,1,"DEGs","No"
"AT1G45201",1.88794749653455,0.185,0.017,2,"GEP_24 and DEGs","No"
"AT4G16515",0.538081762221434,0.19,0.025,3,"GEP_24","No"
"AT1G13110",0.506731308794419,0.185,0.025,4,"GEP_24","No"
"AT4G25830",1.06912074294208,0.269,0.031,5,"GEP_24","No"
"AT1G58270",1.29560945121279,0.231,0.034,6,"GEP_43","No"
"AT4G02850",1.23452778551883,0.2,0.035,7,"GEP_24","No"
"AT4G22690",0.776420738959199,0.186,0.036,8,"GEP_24","No"
"AT5G55620",1.00638805882304,0.288,0.038,9,"GEP_43 and DEGs","No"
"AT4G17470",1.91032912009151,0.4495,0.041,10,"DEGs","No"
"AT3G09260",3.05614295552949,0.2675,0.041,11,"DEGs","No"
"AT2G45050",0.50983955691558,0.3265,0.0435,12,"DEGs","Yes"
"AT2G38750",1.27234852573097,0.3915,0.0435,13,"DEGs","No"
"AT2G30424",0.511589183714511,0.29,0.047,14,"DEGs","Yes"
"AT4G37800",0.417197800103052,0.198,0.049,15,"GEP_24","No"
"AT4G15760",0.704119494077595,0.42,0.051,16,"GEP_24 and DEGs","No"
"AT4G14550",1.03696685238524,0.378,0.054,17,"GEP_43 and DEGs","No"
"AT5G53210",0.409591199878512,0.2995,0.056,18,"DEGs","Yes"
"AT3G08770",2.70005204002011,0.581,0.058,19,"GEP_24 and DEGs","No"
"AT5G15310",1.0917769700805,0.556,0.066,20,"GEP_43 and DEGs","Yes"
"AT4G00480",0.669891255150402,0.4545,0.0725,21,"DEGs","Yes"
"AT3G51600",2.93452821032215,0.469,0.073,22,"GEP_43 and DEGs","No"
"AT5G22500",1.49234789869036,0.577,0.075,23,"DEGs","No"
"AT5G46880",0.720173298185173,0.57,0.0825,24,"DEGs","Yes"
"AT1G51500",1.06317508824886,0.694,0.083,25,"GEP_43 and DEGs","No"
"AT5G14410",1.04918343270959,0.673,0.083,26,"GEP_43 and DEGs","No"
"AT1G01610",0.923356511786361,0.679,0.088,27,"GEP_43 and DEGs","No"
"AT1G78850",1.27719157235031,0.314,0.089,28,"GEP_24 and DEGs","No"
"AT5G20270",1.22298697509901,0.718,0.089,29,"GEP_43 and DEGs","No"
"AT1G64670",1.12568591777006,0.739,0.093,30,"GEP_43 and DEGs","No"
"AT4G33220",1.57925932370696,0.801,0.0975,31,"DEGs","No"
"AT2G02850",2.32295504683166,0.869,0.1015,32,"DEGs","No"
"AT1G11600",1.98822656653516,0.8135,0.109,33,"DEGs","No"
"AT4G04890",1.32067788412077,0.819,0.1105,34,"DEGs","Yes"
"AT1G75710",1.15118136879248,0.7185,0.1135,35,"DEGs","Yes"
"AT3G28910",1.51613857611108,0.781,0.1155,36,"DEGs","Yes"
"AT4G21750",1.57224651394632,0.8765,0.118,37,"DEGs","Yes"
"AT5G36910",3.55646025365444,0.7505,0.145,38,"DEGs","No"
"AT1G54010",2.54991036727021,0.596,0.164,39,"DEGs","No"
"AT2G45190",1.2641054733846,0.7495,0.379,40,"DEGs","Yes"
