"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT5G24780",1.47655218781414,0.266,0.01,1,"GEP_2","No"
"AT1G54020",0.732757033074498,0.257,0.015,2,"GEP_2 and DEGs","No"
"AT1G76640",1.1531261245252,0.266,0.028,3,"GEP_2","No"
"AT1G76790",1.22505715766383,0.31,0.029,4,"GEP_2","No"
"AT1G24070",1.15844855004056,0.457,0.036,5,"GEP_2","No"
"AT5G50335",0.515976015517884,0.189,0.037,6,"GEP_2","No"
"AT4G27860",0.6048752112274,0.389,0.051,7,"DEGs","No"
"AT1G73325",0.567498770752071,0.378,0.055,8,"GEP_2 and DEGs","No"
"AT3G16470",1.80591227487023,0.553,0.06,9,"GEP_2 and DEGs","No"
"AT1G14250",1.52289185029026,0.398,0.077,10,"GEP_2","No"
"AT4G03420",0.355882217099536,0.319,0.095,11,"GEP_2 and DEGs","No"
"AT1G52040",3.17590478572007,0.7935,0.115,12,"DEGs","No"
"AT1G52410",2.43310956446459,0.87,0.179,13,"DEGs","No"
"AT1G44350",0.701961997971506,0.62,0.2125,14,"DEGs","No"
"AT1G52400",3.33635794576284,0.8785,0.2135,15,"DEGs","No"
"AT5G24420",2.46357096488102,0.8445,0.308,16,"DEGs","No"
"AT3G45140",2.6606467328868,0.9435,0.3195,17,"DEGs","No"
"AT3G28220",3.02818729229943,0.9175,0.361,18,"DEGs","No"
