"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G58270",0,2.9290102117868,0.823,0,0,"AT1G58270"
"AT1G73490",0,1.26048107755581,0.747,0,0,"AT1G73490"
"AT3G01740",0,1.44081906554055,0.807,0,0,"AT3G01740"
"AT3G19790",0,0.731986762512603,0.531,0,0,"AT3G19790"
"AT3G61430",0,1.51939943010769,0.664,0,0,"AT3G61430"
"AT2G26975",0,1.07027432472898,0.598,0,0,"AT2G26975"
"AT4G02850",0,2.80188389233135,0.712,0,0,"AT4G02850"
"AT4G22690",0,2.01684146152589,0.663,0,0,"AT4G22690"
"ATCG00440",0,1.45829547163008,0.545,0,0,"ATCG00440"
"ATCG00570",0,2.68321081008548,0.94,0,0,"ATCG00570"
"ATCG00740",0,2.37100317673231,0.88,0,0,"ATCG00740"
"ATCG00770",0,0.873062191268615,0.509,0,0,"ATCG00770"
"ATCG01070",0,1.58195117213515,0.702,0,0,"ATCG01070"
"ATCG00420",1.64726520120448e-288,0.839719168853118,0.461,0,3.02388472985107e-284,"ATCG00420"
"AT1G48200",4.57011247272543e-287,0.600500192690293,0.459,0,8.38935546618208e-283,"AT1G48200"
"AT2G38995",1.94350022969629e-270,0.983419501798198,0.436,0,3.56768337165348e-266,"AT2G38995"
"AT5G48480",1.71974949018728e-263,1.1969153985269,0.425,0,3.15694413913679e-259,"AT5G48480"
"ATCG00730",9.56896833187669e-242,0.638224308545522,0.393,0,1.7565755166826e-237,"ATCG00730"
"ATCG00650",1.1611727287515e-239,0.773410840104168,0.39,0,2.13156477816913e-235,"ATCG00650"
"ATCG01080",5.69113274221363e-217,0.551644380348956,0.356,0,1.04472123748816e-212,"ATCG01080"
"AT5G48620",1.30822301760156e-215,0.469818786188154,0.354,0,2.40150499341118e-211,"AT5G48620"
"AT5G51545",1.67559705759708e-209,0.458700444278776,0.345,0,3.07589351863096e-205,"AT5G51545"
"AT3G16690",9.79342085546958e-201,0.691614229502672,0.332,0,1.79777826643855e-196,"AT3G16690"
"AT1G09490",6.99277896941896e-189,0.401313379649563,0.315,0,1.28366443541624e-184,"AT1G09490"
"ATCG01060",1.0377905473145e-186,0.470562047577029,0.31,0,1.90507210770523e-182,"ATCG01060"
"AT5G46550",4.78408042049899e-186,0.379777605109443,0.309,0,8.78213642791e-182,"AT5G46550"
"ATCG00750",8.03304616968953e-175,0.40679600593585,0.292,0,1.47462628536991e-170,"ATCG00750"
"AT3G58020",6.37915553453899e-156,0.326868558352483,0.262,0,1.17102158147532e-151,"AT3G58020"
"AT5G01040",2.43941258011233e-153,0.485812620892501,0.258,0,4.4780296733122e-149,"AT5G01040"
"AT1G27540",2.09088952624125e-151,0.334014056936914,0.255,0,3.83824590332106e-147,"AT1G27540"
"AT4G33690",2.70672368327154e-136,0.289641071302,0.232,0,4.96873266538156e-132,"AT4G33690"
"AT1G71130",2.70770222430183e-120,0.255476830421431,0.205,0,4.97052897315087e-116,"AT1G71130"
"AT5G02910",1.14448897192832e-119,0.253211480384076,0.204,0,2.10093840576883e-115,"AT5G02910"
"AT1G76790",7.69191820499296e-108,1.08446639768386,0.184,0,1.41200542489056e-103,"AT1G76790"
"AT4G29740",1.36350421267496e-98,0.265548420825457,0.169,0,2.50298468320742e-94,"AT4G29740"
"AT1G03870",2.92457133569484e-98,0.395325906261718,0.17,0,5.36863560093502e-94,"AT1G03870"
"AT2G43590",7.37533429945714e-92,2.19855331251276,0.158,0,1.35389011735135e-87,"AT2G43590"
"AT3G14210",1.35217713591424e-87,0.535061960791136,0.15,0,2.48219156839778e-83,"AT3G14210"
"AT1G35140",1.66947572360458e-72,0.439088468444038,0.125,0,3.06465658582092e-68,"AT1G35140"
"AT3G26200",1.58982958481001e-66,0.425108822399138,0.115,0,2.91845016883574e-62,"AT3G26200"
"AT5G24780",5.50310531822065e-60,0.971843855588862,0.103,0,1.01020504326577e-55,"AT5G24780"
"AT1G31580",1.46926157263788e-296,1.30992600788179,0.475,0.001,2.69712346889135e-292,"AT1G31580"
"AT1G28670",1.72059190898046e-287,0.900387245089719,0.462,0.001,3.15849056731544e-283,"AT1G28670"
"AT4G30750",1.20767185996569e-234,0.50853403115325,0.387,0.001,2.21692323333902e-230,"AT4G30750"
"AT1G29660",1.42053443238125e-102,0.941872485036643,0.18,0.001,2.60767505752226e-98,"AT1G29660"
"AT5G02600",2.20290572706781e-69,0.426981641594715,0.123,0.001,4.04387404317838e-65,"AT5G02600"
"AT2G42530",6.89730265604518e-65,0.513364422933424,0.117,0.001,1.26613784857021e-60,"AT2G42530"
"AT5G09830",0,0.753153393287385,0.538,0.002,0,"AT5G09830"
"AT3G53280",0,0.872942724133297,0.518,0.002,0,"AT3G53280"
"AT2G38110",0,1.02995478605725,0.524,0.002,0,"AT2G38110"
"AT4G00300",0,1.41248890278921,0.778,0.002,0,"AT4G00300"
"AT1G29500",6.21723790067544e-174,0.910960738884361,0.296,0.002,1.14129836142699e-169,"AT1G29500"
"AT3G22425",2.83230938925326e-150,0.308122984627155,0.261,0.002,5.19927034585221e-146,"AT3G22425"
"AT1G22530",1.44174254506895e-86,0.278976889642769,0.157,0.002,2.64660678998307e-82,"AT1G22530"
"AT1G30720",1.80895913688413e-72,0.436644416072928,0.133,0.002,3.32070628757819e-68,"AT1G30720"
"AT4G06746",1.20786373305086e-64,0.753854238841259,0.121,0.002,2.21727545476146e-60,"AT4G06746"
"AT1G68500",8.15765378199642e-62,0.414146109938433,0.115,0.002,1.49750050476108e-57,"AT1G68500"
"AT3G23810",0,3.45120832792339,0.844,0.003,0,"AT3G23810"
"AT3G58680",0,1.81423712334012,0.899,0.003,0,"AT3G58680"
"ATCG00720",0,3.47861690929275,0.981,0.003,0,"ATCG00720"
"AT5G17210",6.25860630164311e-154,0.373123063427769,0.269,0.003,1.14889235879263e-149,"AT5G17210"
"AT2G46140",2.20684482583063e-121,0.657089103165649,0.217,0.003,4.05110504677729e-117,"AT2G46140"
"AT2G03530",2.06460014852411e-88,0.275615078267636,0.163,0.003,3.78998649264571e-84,"AT2G03530"
"AT5G06300",2.66988889755876e-230,0.637651071385999,0.391,0.004,4.90111504924862e-226,"AT5G06300"
"AT1G48600",7.14235950675888e-195,0.768312660896587,0.335,0.004,1.31112293465573e-190,"AT1G48600"
"AT3G55040",1.22633004232458e-189,0.444800523946298,0.328,0.004,2.25117405869523e-185,"AT3G55040"
"AT4G37310",1.21150436391341e-107,0.295886276624047,0.198,0.004,2.22395856083586e-103,"AT4G37310"
"AT2G15910",0,1.01484265828254,0.663,0.005,0,"AT2G15910"
"ATCG00470",0,3.38217363404885,0.973,0.005,0,"ATCG00470"
"AT1G71430",1.12938062310627e-266,0.641956555524271,0.445,0.005,2.07320400983618e-262,"AT1G71430"
"AT1G26800",1.25873987022359e-126,0.635837885992329,0.234,0.005,2.31066877976944e-122,"AT1G26800"
"AT5G01670",3.39554003166653e-117,0.432294114270035,0.219,0.005,6.23319283613026e-113,"AT5G01670"
"AT5G02790",0,0.972472450214761,0.649,0.006,0,"AT5G02790"
"AT4G24510",0,1.23654910530179,0.529,0.006,0,"AT4G24510"
"AT4G00050",9.5704424508343e-180,0.549803477506583,0.321,0.006,1.75684612069965e-175,"AT4G00050"
"AT3G16220",6.47093727352054e-116,0.277445067721752,0.222,0.006,1.18786995530017e-111,"AT3G16220"
"AT1G22885",4.73656286748318e-109,0.352604355653057,0.21,0.006,8.69490845583887e-105,"AT1G22885"
"AT5G66170",1.6406760052008e-105,0.293498170810287,0.205,0.006,3.01178894274711e-101,"AT5G66170"
"AT1G66100",8.28183094298446e-96,2.26591743566812,0.187,0.006,1.52029570620366e-91,"AT1G66100"
"AT4G09760",2.00061482827289e-66,0.304238802148905,0.137,0.006,3.67252864026055e-62,"AT4G09760"
"AT1G74840",0,0.930453166306426,0.566,0.007,0,"AT1G74840"
"AT1G69410",1.19702579840774e-143,0.772242114176339,0.268,0.007,2.19738025813709e-139,"AT1G69410"
"AT3G56170",1.20693739452721e-77,0.267127741570708,0.161,0.007,2.21557497513359e-73,"AT3G56170"
"AT2G37170",9.71181420871431e-59,0.2886074974589,0.127,0.007,1.78279773429369e-54,"AT2G37170"
"AT1G33610",0,1.10277027913953,0.602,0.008,0,"AT1G33610"
"AT1G22710",2.66102128446939e-172,0.668668132625613,0.316,0.008,4.88483677190046e-168,"AT1G22710"
"AT5G02710",3.267915190416e-169,0.433479865873716,0.311,0.008,5.99891191504665e-165,"AT5G02710"
"AT3G52525",5.64521480847672e-70,0.311538898029574,0.148,0.008,1.03629208239207e-65,"AT3G52525"
"AT3G04300",1.2154529515133e-51,0.517468383919757,0.119,0.008,2.23120698309296e-47,"AT3G04300"
"AT2G16660",0,1.27714062235967,0.655,0.009,0,"AT2G16660"
"AT4G18280",2.7029708008368e-83,0.587451321842074,0.177,0.009,4.96184349909611e-79,"AT4G18280"
"AT5G62360",1.97535953789768e-48,0.369854357142904,0.115,0.009,3.62616750371878e-44,"AT5G62360"
