"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G02460",0,0.527522954257377,0.192,0.002,0,"AT1G02460"
"AT1G75520",0,0.2933101523632,0.128,0.002,0,"AT1G75520"
"AT4G13700",0,0.292014764138109,0.141,0.002,0,"AT4G13700"
"AT5G14330",0,0.408990365759049,0.123,0.003,0,"AT5G14330"
"AT2G37280",0,0.791710118771608,0.317,0.003,0,"AT2G37280"
"AT2G38940",0,1.06438291185814,0.237,0.003,0,"AT2G38940"
"AT4G36230",0,1.04237714625587,0.379,0.003,0,"AT4G36230"
"AT5G62150",0,0.427995867659491,0.148,0.004,0,"AT5G62150"
"AT3G51060",0,0.99204011956248,0.471,0.004,0,"AT3G51060"
"AT2G18060",0,0.356377300526449,0.131,0.004,0,"AT2G18060"
"AT1G19790",0,1.55712546644276,0.443,0.005,0,"AT1G19790"
"AT1G22900",0,1.81118798662242,0.366,0.005,0,"AT1G22900"
"AT2G43610",0,1.64741545394517,0.439,0.005,0,"AT2G43610"
"AT2G46690",0,0.456255532343773,0.156,0.005,0,"AT2G46690"
"AT4G19810",0,1.34626021583851,0.254,0.005,0,"AT4G19810"
"AT2G04160",0,1.27453582584481,0.34,0.006,0,"AT2G04160"
"AT5G46730",0,1.17817242611888,0.352,0.007,0,"AT5G46730"
"AT5G63850",0,1.25436962177525,0.269,0.007,0,"AT5G63850"
"AT3G16660",0,4.24824936927229,0.206,0.008,0,"AT3G16660"
"AT4G24120",0,0.656526109966701,0.273,0.008,0,"AT4G24120"
"AT1G69310",0,0.435501336223499,0.242,0.009,0,"AT1G69310"
"AT5G08370",0,0.567353575321579,0.17,0.009,0,"AT5G08370"
"AT5G40780",0,1.32613492178029,0.232,0.009,0,"AT5G40780"
"AT4G23550",0,1.80270823029943,0.425,0.009,0,"AT4G23550"
"AT5G28030",0,1.24365589685542,0.424,0.01,0,"AT5G28030"
"AT5G66350",0,0.518903117518562,0.308,0.01,0,"AT5G66350"
"AT2G31110",0,0.387403329656905,0.177,0.01,0,"AT2G31110"
"AT4G23290",0,0.412067252913469,0.169,0.01,0,"AT4G23290"
"AT3G60890",0,2.30059486430363,0.463,0.011,0,"AT3G60890"
"AT2G43050",0,1.03949318976369,0.297,0.011,0,"AT2G43050"
"AT1G77920",0,0.364669247006897,0.243,0.012,0,"AT1G77920"
"AT5G12330",0,0.311741584904999,0.202,0.012,0,"AT5G12330"
"AT3G01750",0,0.337508692475064,0.19,0.012,0,"AT3G01750"
"AT3G24450",0,0.96558910633651,0.378,0.013,0,"AT3G24450"
"AT5G50130",0,0.754826780805188,0.182,0.014,0,"AT5G50130"
"AT4G36160",0,1.07524603670345,0.398,0.014,0,"AT4G36160"
"AT5G19530",2.72399729287663e-241,0.864776028989058,0.128,0.014,5.00044183053363e-237,"AT5G19530"
"AT3G27400",0,0.366753463754056,0.154,0.015,0,"AT3G27400"
"AT4G23300",0,0.681802909489866,0.251,0.015,0,"AT4G23300"
"AT4G36260",0,1.12741904212993,0.545,0.017,0,"AT4G36260"
"AT3G51030",1.70082159077725e-124,0.346926448367403,0.102,0.017,3.12219819418979e-120,"AT3G51030"
"AT5G59130",0,0.487241793389775,0.266,0.019,0,"AT5G59130"
"AT1G62990",3.17606017494792e-184,0.276458249753257,0.131,0.019,5.8302936631519e-180,"AT1G62990"
"AT2G24260",0,0.583510334348154,0.331,0.02,0,"AT2G24260"
"AT5G08070",0,0.405963329263866,0.196,0.021,0,"AT5G08070"
"AT4G20460",0,0.518600318448723,0.268,0.022,0,"AT4G20460"
"AT3G56170",6.4420640182551e-129,0.258234169547705,0.12,0.022,1.18256969183109e-124,"AT3G56170"
"AT2G45360",4.17392194804582e-101,0.341915792853491,0.11,0.022,7.6620685200277e-97,"AT2G45360"
"AT4G02940",0,0.343870215333857,0.211,0.023,0,"AT4G02940"
"AT1G67370",0,0.322242542047824,0.208,0.024,0,"AT1G67370"
"AT4G12910",0,0.308628511553964,0.205,0.025,0,"AT4G12910"
"AT3G53960",6.57344514303292e-174,0.438637683720972,0.146,0.025,1.20668732490655e-169,"AT3G53960"
"AT3G02000",4.07764340760698e-89,0.603075466154479,0.11,0.025,7.48533000334413e-85,"AT3G02000"
"AT2G29995",0,1.33504130764375,0.263,0.026,0,"AT2G29995"
"AT1G22030",0,0.380392304780729,0.205,0.027,0,"AT1G22030"
"AT5G61480",0,0.805532509047713,0.339,0.027,0,"AT5G61480"
"AT4G08770",0,0.817396425248941,0.268,0.027,0,"AT4G08770"
"AT4G21215",0,0.833199046388318,0.368,0.027,0,"AT4G21215"
"AT5G65170",1.4513131113138e-307,0.330463254936732,0.201,0.027,2.66417547843875e-303,"AT5G65170"
"AT5G50160",8.27405506191936e-98,0.294407444826061,0.12,0.027,1.51886828771654e-93,"AT5G50160"
"AT3G18560",7.17027479671145e-86,0.407339869107516,0.113,0.027,1.31624734443232e-81,"AT3G18560"
"AT5G03790",0,1.10422270335938,0.428,0.028,0,"AT5G03790"
"AT2G22190",9.02461829795353e-142,0.483196855253452,0.143,0.028,1.65664918095533e-137,"AT2G22190"
"AT1G61660",3.30957750585524e-108,0.392392043931827,0.129,0.028,6.07539142749846e-104,"AT1G61660"
"AT2G39518",8.18528752102585e-129,2.04315128674922,0.142,0.03,1.50257323023471e-124,"AT2G39518"
"AT5G11320",5.96036724459195e-222,0.365667112578403,0.185,0.031,1.09414461508974e-217,"AT5G11320"
"AT5G62680",0,1.21368962163124,0.283,0.032,0,"AT5G62680"
"AT2G43590",6.32380446989711e-293,2.00415419296163,0.212,0.032,1.16086078653901e-288,"AT2G43590"
"AT2G44690",1.7379969915098e-190,0.277406440380551,0.176,0.032,3.19044107731454e-186,"AT2G44690"
"AT3G25710",0,1.40436404889734,0.446,0.034,0,"AT3G25710"
"AT1G14760",1.04951804852561e-51,0.269935129374338,0.107,0.034,1.92660028167847e-47,"AT1G14760"
"AT5G40690",1.79558482332551e-47,0.307042637125951,0.107,0.035,3.29615506017863e-43,"AT5G40690"
